trade_date,market_type,source_file,underlying,name,code,expiry,contract_month,raw_strike,strike,option_type,last_price,bid_price,ask_price,bid_volume,ask_volume,volume,open_interest,oi_change,amount,prev_settle,open_price,high_price,low_price,iv,delta,gamma,vega,theta,rho,theoretical_price,moneyness,leverage,real_leverage,parse_error
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月6876,10011807,,7月,6876.0,6.876,call,1.2654,1.2622,1.3028,1.0,1.0,69.0,896.0,-48.0,922628.0,1.388,1.3433,1.4045,1.2418,1e-06,0.9966,0.0196,0.0001,-0.0012,0.0015,1.2823,0.0018539999999999997,6.44,6.42,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月6876,10011808,,7月,6876.0,6.876,put,0.0007,0.0007,0.0009,3.0,1.0,3464.0,8600.0,-1865.0,41466.0,0.0015,0.0015,0.0027,0.0007,0.004431000000000001,-0.0041,0.0228,0.0001,-0.0004,-0.0,0.0005,-0.0018539999999999997,11644.29,-48.16,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月7122,10011785,,7月,7122.0,7.122,call,1.04,1.0185,1.0529,1.0,1.0,401.0,622.0,-235.0,4477338.0,1.1424,1.1086,1.2786,1.0002,0.004521,0.9805,0.0868,0.0006,-0.0025,0.0015,1.039,0.0014449999999999999,7.84,7.68,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月7122,10011786,,7月,7122.0,7.122,put,0.0017,0.0016,0.0019,1.0,1.0,2476.0,7819.0,-759.0,57878.0,0.0025,0.0029,0.0035,0.0016,0.004008,-0.0102,0.0559,0.0003,-0.0008,-0.0,0.0029,-0.0014449999999999999,4794.71,-48.72,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月7250,10012035,,7月,7250.0,7.25,call,0.8718,0.8918,0.9231,1.0,1.0,156.0,36.0,36.0,1522634.0,1.0187,0.9838,1.1526,0.8718,1e-06,0.9699,0.131,0.0008,-0.0031,0.0015,0.9144,0.001243,9.35,9.07,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月7250,10012044,,7月,7250.0,7.25,put,0.0031,0.0026,0.003,10.0,1.0,1602.0,520.0,520.0,56956.0,0.0037,0.0039,0.0052,0.0022,1e-06,-0.0301,0.131,0.0008,-0.0022,-0.0001,0.0062,-0.001243,2629.35,-79.21,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月7367,10011717,,7月,7367.0,7.367,call,0.7772,0.77,0.8052,1.0,1.0,268.0,685.0,-43.0,2313019.0,0.897,0.8759,0.95,0.754,1e-06,0.9483,0.2032,0.0013,-0.0043,0.0015,0.8029,0.001064,10.49,9.95,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月7367,10011726,,7月,7367.0,7.367,put,0.0047,0.0046,0.0047,1.0,2.0,10345.0,17255.0,-1608.0,560887.0,0.0053,0.0035,0.0082,0.0035,0.003644,-0.0274,0.1436,0.0008,-0.0017,-0.0001,0.0116,-0.001064,1734.26,-47.56,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF购7月7500,10012036,,7月,7500.0,7.5,call,0.6605,0.6485,0.673,1.0,1.0,299.0,93.0,93.0,2137748.0,0.7689,0.7494,0.9117,0.628,1e-06,0.9113,0.3081,0.0019,-0.0061,0.0015,0.6803,0.0008680000000000001,12.34,11.25,
2026-07-15,ETF,中证500ETF南方期权_.xls,中证500ETF南方,500ETF沽7月7500,10012045,,7月,7500.0,7.5,put,0.0089,0.0089,0.0091,1.0,1.0,9380.0,3789.0,3789.0,796224.0,0.0083,0.0084,0.0134,0.0054,1e-06,-0.0887,0.3081,0.0019,-0.0051,-0.0002,0.0219,-0.0008680000000000001,915.84,-81.22,
