exchange,commodity,underlying,contract_month,strike,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,call_amount,put_amount,total_amount,price_wall_score
CZCE,AP,AP,2610,6400.0,12.0,460.0,472.0,0.0,47.0,47.0,0.0,3525.0,3525.0,0.1319403054529258
CZCE,AP,AP,2610,6500.0,24.0,1026.0,1050.0,1.0,126.0,127.0,11130.0,12600.0,23730.0,0.27717361011832703
CZCE,AP,AP,2610,6600.0,11.0,494.0,505.0,0.0,22.0,22.0,0.0,3410.0,3410.0,0.132392837679042
CZCE,AP,AP,2610,6700.0,3.0,327.0,330.0,0.0,107.0,107.0,0.0,21400.0,21400.0,0.1580878973053108
CZCE,AP,AP,2610,6800.0,19.0,474.0,493.0,0.0,222.0,222.0,0.0,62160.0,62160.0,0.23977570734662074
CZCE,AP,AP,2610,6900.0,14.0,317.0,331.0,0.0,184.0,184.0,0.0,71760.0,71760.0,0.20813327499894638
CZCE,AP,AP,2610,7000.0,94.0,2731.0,2825.0,26.0,2059.0,2085.0,162500.0,1091270.0,1253770.0,0.6635711893686664
CZCE,AP,AP,2610,7100.0,67.0,456.0,523.0,7.0,155.0,162.0,38185.0,109275.0,147460.0,0.25781574993327117
CZCE,AP,AP,2610,7200.0,65.0,481.0,546.0,6.0,255.0,261.0,27420.0,235875.0,263295.0,0.29447160397596606
CZCE,AP,AP,2610,7300.0,137.0,594.0,731.0,34.0,246.0,280.0,133960.0,300120.0,434080.0,0.33982430011131115
CZCE,AP,AP,2610,7400.0,123.0,277.0,400.0,85.0,239.0,324.0,284325.0,378815.0,663140.0,0.29982190314026447
CZCE,AP,AP,2610,7500.0,217.0,434.0,651.0,68.0,440.0,508.0,187340.0,871200.0,1058540.0,0.37785759647175776
CZCE,AP,AP,2610,7600.0,441.0,355.0,796.0,274.0,218.0,492.0,634310.0,539550.0,1173860.0,0.40017435498185716
CZCE,AP,AP,2610,7700.0,405.0,223.0,628.0,241.0,68.0,309.0,438620.0,205360.0,643980.0,0.3353042071825876
CZCE,AP,AP,2610,7800.0,517.0,195.0,712.0,551.0,34.0,585.0,815480.0,125460.0,940940.0,0.3945088626467932
CZCE,AP,AP,2610,7900.0,502.0,110.0,612.0,190.0,37.0,227.0,220400.0,161320.0,381720.0,0.3077608122452218
CZCE,AP,AP,2610,8000.0,5433.0,270.0,5703.0,3898.0,28.0,3926.0,3659445.0,144340.0,3803785.0,0.7945833360878789
CZCE,AP,AP,2610,8100.0,1442.0,90.0,1532.0,198.0,17.0,215.0,137610.0,100810.0,238420.0,0.4087268106866999
CZCE,AP,AP,2610,8200.0,1861.0,45.0,1906.0,213.0,0.0,213.0,113955.0,0.0,113955.0,0.4190939738670761
CZCE,AP,AP,2610,8300.0,1727.0,77.0,1804.0,431.0,2.0,433.0,172400.0,14580.0,186980.0,0.4596726148666125
CZCE,AP,AP,2610,8400.0,1396.0,46.0,1442.0,263.0,0.0,263.0,80215.0,0.0,80215.0,0.3793318550376367
CZCE,AP,AP,2610,8500.0,6421.0,33.0,6454.0,2657.0,0.0,2657.0,690820.0,0.0,690820.0,0.7581199163141537
CZCE,AP,AP,2610,8600.0,616.0,82.0,698.0,290.0,0.0,290.0,57415.0,0.0,57415.0,0.2849240540821951
CZCE,AP,AP,2610,8700.0,784.0,26.0,810.0,127.0,0.0,127.0,19685.0,0.0,19685.0,0.2417931476480451
CZCE,AP,AP,2610,8800.0,335.0,28.0,363.0,35.0,0.0,35.0,4550.0,0.0,4550.0,0.11525941155884412
CZCE,AP,AP,2610,8900.0,370.0,35.0,405.0,47.0,0.0,47.0,5640.0,0.0,5640.0,0.13015828065953736
CZCE,AP,AP,2610,9000.0,2641.0,29.0,2670.0,129.0,0.0,129.0,16125.0,0.0,16125.0,0.3905409510701822
CZCE,AP,AP,2610,9100.0,335.0,23.0,358.0,12.0,0.0,12.0,1440.0,0.0,1440.0,0.09183578026494871
CZCE,AP,AP,2610,9200.0,194.0,24.0,218.0,19.0,0.0,19.0,1615.0,0.0,1615.0,0.06550715796188977
CZCE,AP,AP,2610,9300.0,204.0,35.0,239.0,5.0,0.0,5.0,425.0,0.0,425.0,0.05680324271291879
