market_type,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,net_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,total_oi,total_volume,total_amount,gamma_regime
ETF,上证50ETF华夏,,,12月,3.057,3.0,2.8,3.5,2.8,3.0,3.0,3.1,3.2,14388465.797316812,56167369.80651818,35277917.8019175,20889452.00460069,1.688790964652778,0.6280856291373559,0.37191437086264423,71970.0,9917.0,,Positive Gamma
ETF,上证50ETF华夏,,,7月,3.057,3.1,3.0,3.1,3.0,3.1,3.1,3.1,3.1,638420219.0136224,1885650913.3018246,1262035566.1577237,623615347.1441011,2.023740390510467,0.6692837774240334,0.3307162225759667,971168.0,953573.0,,Positive Gamma
ETF,上证50ETF华夏,,,8月,3.057,3.1,3.0,3.1,2.85,3.1,3.1,3.2,3.1,67096790.37231444,348675912.253785,207886351.31304973,140789560.94073528,1.476575038120607,0.5962165552799612,0.40378344472003874,264820.0,163682.0,,Positive Gamma
ETF,上证50ETF华夏,,,9月,3.057,3.1,2.65,3.6,2.65,3.1,3.6,3.2,3.1,93980103.0400646,345828769.5356846,219904436.2878746,125924333.24780998,1.746322022250605,0.6358766408680282,0.36412335913197175,420382.0,281416.0,,Positive Gamma
ETF,中证500ETF南方,,,12月,8.698,8.5,10.0,10.0,7.25,8.5,8.5,8.5,8.5,31502077.959080406,115827005.19250122,73664541.57579082,42162463.61671041,1.7471593274401327,0.6359876218275905,0.36401237817240967,73293.0,9763.0,,Positive Gamma
ETF,中证500ETF南方,,,7月,8.698,8.75,8.75,9.0,8.25,8.75,9.0,9.0,8.75,689362971.8360089,3340282471.048756,2014822721.4423819,1325459749.6063733,1.5200934785388476,0.6031893227310753,0.3968106772689244,772331.0,1478623.0,,Positive Gamma
ETF,中证500ETF南方,,,8月,8.698,9.0,8.75,9.25,8.75,8.75,9.25,9.0,8.75,99063527.0895759,420842150.27972484,259952838.68465036,160889311.59507453,1.6157247247032696,0.6176967742225089,0.3823032257774912,143274.0,136162.0,,Positive Gamma
ETF,中证500ETF南方,,,9月,8.698,9.0,6.75,9.75,6.5,8.5,6.75,10.0,8.5,29018212.451026835,550363906.4339514,289691059.44248915,260672846.9914623,1.1113204262965575,0.526362750274676,0.473637249725324,400913.0,312519.0,,Positive Gamma
ETF,中证500ETF嘉实,,,12月,3.455,3.5,3.2,4.0,3.2,3.5,3.5,3.2,3.6,6089396.006659251,15097362.276480751,10593379.141570002,4503983.13491075,2.352002399711454,0.7016708579665452,0.2983291420334549,21766.0,3788.0,,Positive Gamma
ETF,中证500ETF嘉实,,,7月,3.455,3.5,3.4,3.6,3.3,3.5,3.6,3.5,3.6,134012229.81338225,333344770.14743984,233678499.98041102,99666270.16702877,2.344609661711969,0.7010114479283837,0.2989885520716163,214657.0,228486.0,,Positive Gamma
ETF,中证500ETF嘉实,,,8月,3.455,3.5,3.5,3.5,3.5,3.5,3.7,3.4,3.5,12194679.477372,41123468.68213451,26659074.079753246,14464394.60238125,1.843082604740637,0.6482691011746996,0.35173089882530006,35560.0,24483.0,,Positive Gamma
ETF,中证500ETF嘉实,,,9月,3.455,3.9,2.8,3.9,2.8,3.9,3.9,3.7,3.6,14017280.677759748,54579723.50932425,34298502.093541995,20281221.41578225,1.6911457840922692,0.6284110634544078,0.3715889365455921,80449.0,25370.0,,Positive Gamma
ETF,创业板ETF易方达,,,12月,3.862,4.5,3.2,4.5,3.2,4.5,3.2,4.3,3.9,7859589.078364601,37833318.79601364,22846453.93718912,14986864.858824521,1.5244318376392605,0.6038712612121242,0.39612873878787586,71431.0,19719.0,,Positive Gamma
ETF,创业板ETF易方达,,,7月,3.862,4.0,3.7,4.3,3.7,4.0,3.7,4.5,4.0,43095476.974999085,1403366626.6713538,723231051.8231763,680135574.8481772,1.0633630684361997,0.515354318734662,0.48464568126533775,1222167.0,2269188.0,,Positive Gamma
ETF,创业板ETF易方达,,,8月,3.862,4.0,3.6,4.8,3.5,4.0,3.6,4.6,4.0,18196401.855592117,219265465.9879922,118730933.92179216,100534532.06620003,1.1809965340427522,0.5414939985501152,0.45850600144988485,257665.0,260766.0,,Positive Gamma
ETF,创业板ETF易方达,,,9月,3.862,3.9,2.9,4.8,2.85,3.9,2.9,,3.9,-11819280.450368807,202430969.6269779,95305844.58830455,107125125.03867336,0.8896684559658444,0.4708066397346505,0.5291933602653496,429090.0,187825.0,,Negative Gamma
ETF,沪深300ETF华泰柏瑞,,,12月,4.829,5.0,4.5,6.0,4.5,5.0,5.0,4.9,5.0,17122060.82644046,64713979.84335394,40918020.3348972,23795959.508456744,1.7195364751043352,0.63229027845209,0.3677097215479101,57329.0,6181.0,,Positive Gamma
ETF,沪深300ETF华泰柏瑞,,,7月,4.829,4.9,4.9,5.0,4.9,4.9,5.0,5.0,4.9,289359472.0015944,2150750145.696183,1220054808.8488889,930695336.8472943,1.3109067602957936,0.5672694298267572,0.4327305701732428,733468.0,848656.0,,Positive Gamma
ETF,沪深300ETF华泰柏瑞,,,8月,4.829,5.0,4.7,5.25,4.6,5.0,5.0,5.25,5.0,49997896.3982103,396668553.0494332,223333224.72382173,173335328.3256114,1.2884460824067496,0.5630222587773167,0.43697774122268324,209872.0,141940.0,,Positive Gamma
ETF,沪深300ETF华泰柏瑞,,,9月,4.829,5.25,4.1,6.0,4.0,5.0,5.25,5.25,5.0,74578657.50036493,389440251.5386472,232009454.51950604,157430797.01914117,1.4737234322157262,0.5957510904506026,0.40424890954939746,354149.0,241521.0,,Positive Gamma
ETF,沪深300ETF嘉实,,,12月,5.038,5.25,4.6,5.25,4.6,5.25,5.25,5.25,5.25,5049675.086893801,18310256.191293,11679965.6390934,6630290.552199599,1.7616069080439576,0.6378919834364484,0.3621080165635516,16039.0,2783.0,,Positive Gamma
ETF,沪深300ETF嘉实,,,7月,5.038,5.25,5.0,5.25,5.0,5.25,5.25,5.25,5.25,89611123.377105,316379346.9117429,202995235.14442393,113384111.76731893,1.7903322783089781,0.6416197426472703,0.35838025735272955,143781.0,106921.0,,Positive Gamma
ETF,沪深300ETF嘉实,,,8月,5.038,5.0,5.0,5.25,4.6,5.0,5.25,5.25,5.0,10285210.61995196,54034699.536758594,32159955.078355283,21874744.458403323,1.4701865495850779,0.5951722754834158,0.4048277245165845,28832.0,12085.0,,Positive Gamma
ETF,沪深300ETF嘉实,,,9月,5.038,5.25,5.25,6.25,4.2,5.25,5.25,5.5,5.25,13660390.625544963,66980628.148962006,40320509.387253486,26660118.761708524,1.512390464110203,0.6019726972040695,0.39802730279593046,66337.0,18925.0,,Positive Gamma
ETF,深证100ETF易方达,,,12月,3.841,4.5,4.5,4.5,4.5,4.5,4.0,4.1,4.0,617339.97848425,3185370.13081487,1901355.0546495602,1284015.07616531,1.4807887305559728,0.5969023933062254,0.4030976066937747,4729.0,2349.0,,Positive Gamma
ETF,深证100ETF易方达,,,7月,3.841,4.0,3.8,4.2,3.4,4.0,4.0,4.6,4.0,202069.34594616748,68950457.4030909,34576263.37451853,34374194.02857236,1.005878518803327,0.5014653227371999,0.4985346772628,54330.0,54873.0,,Positive Gamma
ETF,深证100ETF易方达,,,8月,3.841,4.2,3.8,4.2,3.6,3.8,3.6,,3.8,-1808776.5935136504,8596460.214681253,3393841.8105838,5202618.40409745,0.652333411174438,0.39479526756695865,0.6052047324330411,8025.0,1882.0,,Negative Gamma
ETF,深证100ETF易方达,,,9月,3.841,4.1,3.0,3.9,3.0,3.0,3.0,,4.0,-741145.3817175697,8969852.47883835,4114353.5485603902,4855498.93027796,0.8473595829470933,0.45868686896099586,0.5413131310390041,16071.0,45256.0,,Negative Gamma
ETF,科创50ETF华夏,,,12月,2.209,2.55,1.3,2.55,1.3,2.55,2.55,2.4,2.2,8116417.226835379,39320316.17842299,23718366.702629182,15601949.475793803,1.5202181457790183,0.6032089517033088,0.39679104829669115,203609.0,83932.0,,Positive Gamma
ETF,科创50ETF华夏,,,7月,2.209,2.3,2.15,2.55,2.0,2.2,2.55,2.4,2.2,122095597.79072294,812511163.2614897,467303380.5261065,345207782.7353834,1.353687268645141,0.5751347201807179,0.4248652798192823,1475258.0,2956578.0,,Positive Gamma
ETF,科创50ETF华夏,,,8月,2.209,2.55,1.9,2.55,1.9,2.15,2.55,2.45,2.2,14464463.775189633,109553659.13565671,62009061.45542317,47544597.680233546,1.3042293863221217,0.5660154297415058,0.4339845702584943,276012.0,338715.0,,Positive Gamma
ETF,科创50ETF华夏,,,9月,2.209,2.55,1.8,2.55,1.1,2.55,2.55,2.4,2.2,21375958.256391272,136069460.09726408,78722709.1768277,57346750.92043641,1.3727492475737388,0.5785479645510151,0.42145203544898513,880516.0,774474.0,,Positive Gamma
ETF,科创50ETF易方达,,,12月,2.141,2.15,2.15,2.15,1.25,2.15,2.15,2.15,2.15,1544463.2064299295,10071848.13800079,5808155.67221536,4263692.46578543,1.3622360709229575,0.5766722842356368,0.4233277157643633,53326.0,18851.0,,Positive Gamma
ETF,科创50ETF易方达,,,7月,2.141,2.2,1.95,2.45,1.95,2.1,2.45,2.3,2.1,21239633.327370152,149901441.36528742,85570537.3463288,64330904.01895865,1.330162208215055,0.5708453272160751,0.42915467278392505,293177.0,522287.0,,Positive Gamma
ETF,科创50ETF易方达,,,8月,2.141,2.45,1.85,2.45,1.85,2.45,2.45,2.3,2.1,4268252.2355713695,18357221.66319707,11312736.94938422,7044484.7138128495,1.6058998505883855,0.6162553983898459,0.38374460161015406,46005.0,38888.0,,Positive Gamma
ETF,科创50ETF易方达,,,9月,2.141,2.45,1.75,2.45,1.1,2.15,2.45,2.2,2.15,7088527.834269911,30729562.67717361,18909045.25572176,11820517.421451852,1.5996799955140424,0.6153372716158986,0.38466272838410137,188754.0,147416.0,,Positive Gamma
