market_type,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,net_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,total_oi,total_volume,total_amount,gamma_regime,volume_wall,amount_wall
ETF,上证50ETF华夏,,,12月,3.054,3.0,2.7,3.5,2.7,3.0,3.0,3.1,3.2,26797307.672951274,84816298.39833792,55806803.0356446,29009495.362693314,1.923742634537968,0.6579726313160844,0.3420273686839155,96725.0,40261.0,,Positive Gamma,,
ETF,上证50ETF华夏,,,3月,3.054,3.1,2.85,3.1,2.85,2.85,3.1,3.2,3.1,1282126.3733232,4128831.1537322397,2705478.7635277193,1423352.39020452,1.9007793025443067,0.6552650526970842,0.3447349473029156,5209.0,3251.0,,Positive Gamma,,
ETF,上证50ETF华夏,,,8月,3.054,3.1,3.0,3.1,3.0,3.1,3.1,3.1,3.1,395862056.2727972,1208098952.3636558,801980504.3182266,406118448.0454294,1.9747453191993758,0.6638367682954653,0.3361632317045348,698464.0,479331.0,,Positive Gamma,,
ETF,上证50ETF华夏,,,9月,3.054,3.1,3.0,3.6,2.65,3.1,3.2,3.1,3.1,129324202.39275117,446958796.2947654,288141499.3437583,158817296.95100713,1.8142954506563969,0.6446712800652243,0.3553287199347756,479956.0,115840.0,,Positive Gamma,,
ETF,中证500ETF南方,,,12月,7.726,8.35,7.613,9.823,6.876,7.613,8.0,8.0,7.613,37932935.047193035,155460542.619306,96696738.83324954,58763803.78605648,1.6455153105012887,0.6220018096170029,0.3779981903829972,109449.0,53715.0,,Positive Gamma,,
ETF,中证500ETF南方,,,3月,7.726,8.0,7.75,8.75,7.75,7.75,8.0,7.5,7.75,6477469.6333078,14133628.501938842,10305549.06762332,3828079.4343155203,2.692093840906936,0.7291509796093487,0.27084902039065106,9374.0,4819.0,,Positive Gamma,,
ETF,中证500ETF南方,,,8月,7.726,7.75,7.75,7.75,7.25,7.75,8.25,8.25,7.75,215164570.9858873,1766148500.2019174,990656535.5939023,775491964.6080151,1.2774555776276104,0.5609134993352168,0.4390865006647832,719196.0,1188722.0,,Positive Gamma,,
ETF,中证500ETF南方,,,9月,7.726,8.25,6.631,9.823,6.385,6.631,6.631,,7.5,-76923477.17586485,662427150.7824697,292751836.80330247,369675313.97916746,0.7919161105244915,0.44193816098494637,0.5580618390150539,458801.0,111713.0,,Negative Gamma,,
ETF,中证500ETF嘉实,,,12月,3.134,3.0,2.9,3.0,2.9,3.0,3.0,3.0,3.0,10927397.0127902,37057037.68236604,23992217.34757812,13064820.334787918,1.8363985675098522,0.647440239374424,0.3525597606255759,62770.0,10334.0,,Positive Gamma,,
ETF,中证500ETF嘉实,,,3月,3.134,3.1,3.1,3.1,3.1,3.1,3.1,2.95,3.1,3356623.60425376,6487763.3859808,4922193.495117281,1565569.89086352,3.144026672870127,0.7586888118875437,0.24131118811245644,9738.0,5055.0,,Positive Gamma,,
