market_type,underlying,commodity,exchange,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,net_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,total_oi,total_volume,total_amount,gamma_regime,adjusted_call_wall,adjusted_put_wall,adjusted_price_wall,adjusted_max_gamma_strike,adjusted_net_gex,adjusted_total_abs_gex,avg_liquidity_score,avg_pricing_quality_score,adjusted_call_wall_shift,adjusted_put_wall_shift,adjusted_price_wall_shift,adjusted_wall_available,zero_gamma,zero_gamma_status,zero_gamma_confidence,zero_gamma_reason,zero_gamma_total_contracts,zero_gamma_valid_contracts,zero_gamma_coverage,zero_gamma_bracket_low,zero_gamma_bracket_high,zero_gamma_residual_ratio,zero_gamma_method,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,expiry_structure_state,roll_state,expiry_date_quality,asset_class,option_product,futures_code,futures_price,futures_volume,futures_open_interest,futures_oi_change,futures_amount,futures_pct_change,volume_wall,amount_wall,price_wall_distance,call_oi_wall_distance,put_oi_wall_distance,volume_wall_distance,amount_wall_distance,call_oi_total,put_oi_total,oi_bias,oi_wall_width,oi_wall_width_ratio,nearest_wall_type,nearest_wall,nearest_wall_distance,commodity_price_state
ETF,上证50ETF华夏,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,134.0,96.0,3.039,3.0,2.7,3.5,2.7,3.0,3.0,3.1,3.0,41579073.59356368,115701384.85915086,78640229.22635727,37061155.63279359,2.1219044005409375,0.6796826962969371,0.32031730370306294,123517.0,63435.0,,Positive Gamma,3.0,2.7,3.0,3.0,20206522.577004027,46661605.262215555,0.3941558630061921,0.3863227344362851,0.0,0.0,0.0,True,2.861083947434977,available,medium,,24.0,19.0,0.7916666666666666,2.8560600000000003,2.8676025000000003,9.356753329999997e-15,bs_spot_repricing_constant_iv,115701384.85915086,41579073.59356368,123517.0,63435.0,3.0,4.0,deferred,0.052667762756579445,0.688779783334282,0.25393285716077824,0.688779783334282,0.25393285716077824,15.0,0.26936401004173105,-0.4348469261735038,0.026333881378289722,low_expiry_influence,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,上证50ETF华夏,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,225.0,161.0,3.039,3.1,2.8,3.5,2.8,3.1,3.1,3.2,3.1,2530230.66010809,10148404.13378559,6339317.396946841,3809086.7368387505,1.6642617600795269,0.6246615047426307,0.37533849525736934,12645.0,1565.0,,Positive Gamma,3.1,2.8,3.1,3.1,938742.3366792507,2447452.73474983,0.2648018880257819,0.3682390162056983,0.0,0.0,0.0,True,2.874071071382726,available,medium,,20.0,17.0,0.85,2.8676825,2.878808333333333,8.978033367222191e-14,bs_spot_repricing_constant_iv,10148404.13378559,2530230.66010809,12645.0,1565.0,4.0,4.0,far,0.004619596748360237,0.688779783334282,0.25393285716077824,0.688779783334282,0.25393285716077824,15.0,0.26936401004173105,-0.4348469261735038,0.0023097983741801184,low_expiry_influence,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,上证50ETF华夏,,,8月,2026-08-26,202608,rule_fourth_wednesday,medium,15.0,11.0,3.039,3.1,3.0,3.1,3.0,3.1,3.1,3.1,3.1,424543119.95676076,1513122460.946128,968832790.4514444,544289670.4946835,1.779994813370076,0.6402870986698928,0.3597129013301072,762746.0,334174.0,,Positive Gamma,3.1,3.0,3.1,3.0,265839403.8551731,909678858.7091113,0.46331705583798705,0.3879867277921348,0.0,0.0,0.0,True,2.9734100452004,available,medium,,22.0,18.0,0.8181818181818182,2.9692333333333334,2.9805675000000003,1.4921269026102468e-12,bs_spot_repricing_constant_iv,1513122460.946128,424543119.9567607,762746.0,334174.0,1.0,4.0,near,0.688779783334282,0.688779783334282,0.25393285716077824,0.688779783334282,0.25393285716077824,15.0,0.26936401004173105,-0.4348469261735038,0.688779783334282,front_month_concentrated,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,上证50ETF华夏,,,9月,2026-09-23,202609,rule_fourth_wednesday,medium,43.0,31.0,3.039,3.1,3.0,3.6,2.9,3.1,3.1,3.1,3.1,142566801.45002234,557843768.1230855,350205284.7865539,207638483.3365316,1.6866106858378276,0.6277838075790475,0.3722161924209525,525545.0,95355.0,,Positive Gamma,3.1,3.1,3.1,3.1,83290412.58268575,265015640.2946936,0.4187530518856218,0.2982193173427522,0.0,0.10000000000000009,0.0,True,2.961256368975057,available,medium,,28.0,22.0,0.7857142857142857,2.9510683333333336,2.962819166666667,5.458058834855961e-14,bs_spot_repricing_constant_iv,557843768.1230855,142566801.45002234,525545.0,95355.0,2.0,4.0,next,0.25393285716077824,0.688779783334282,0.25393285716077824,0.688779783334282,0.25393285716077824,15.0,0.26936401004173105,-0.4348469261735038,0.12696642858038912,normal_expiry_structure,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,134.0,96.0,7.989,8.25,7.0,9.823,7.0,8.25,8.25,8.104,8.0,75130376.39223427,231960054.5055011,153545215.44886768,78414839.05663341,1.9581142714323878,0.6619467984528614,0.3380532015471386,150167.0,150248.0,,Positive Gamma,8.0,7.25,8.0,9.823,19428336.033644874,75683860.47610217,0.37287396237553444,0.26571091046824147,-0.25,0.25,0.0,True,7.232804851750228,available,medium,,54.0,42.0,0.7777777777777778,7.212291666666667,7.24336,5.912104213469968e-14,bs_spot_repricing_constant_iv,231960054.5055011,75130376.39223427,150167.0,150248.0,3.0,4.0,deferred,0.0590595914647983,0.6967224196930334,0.23108658106124155,0.6967224196930334,0.23108658106124155,15.0,0.24906697485514429,-0.4656358386317918,0.02952979573239915,low_expiry_influence,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,225.0,161.0,7.989,8.0,8.5,8.75,6.5,8.5,8.0,7.75,8.0,19711450.46501694,51574384.262600824,35642917.363808885,15931466.898791939,2.23726525562512,0.6910972932284788,0.3089027067715212,37942.0,5310.0,,Positive Gamma,7.75,8.75,8.0,7.75,6065834.037026688,15813237.689392634,0.32586730190786733,0.2129738881988663,-0.25,0.25,0.0,True,7.195531995604298,available,medium,,24.0,18.0,0.75,7.1812233333333335,7.212291666666667,1.0822363339483754e-14,bs_spot_repricing_constant_iv,51574384.262600824,19711450.465016942,37942.0,5310.0,4.0,4.0,far,0.013131407780926738,0.6967224196930334,0.23108658106124155,0.6967224196930334,0.23108658106124155,15.0,0.24906697485514429,-0.4656358386317918,0.006565703890463369,low_expiry_influence,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,8月,2026-08-26,202608,rule_fourth_wednesday,medium,15.0,11.0,7.989,8.0,7.75,8.0,7.75,8.0,8.25,8.25,8.0,460506210.3909737,2736418699.12912,1598462454.7600465,1137956244.3690734,1.4046783104971627,0.5841439598657785,0.41585604013422145,828620.0,1081604.0,,Positive Gamma,8.0,7.75,8.0,8.0,330321555.44114506,2101029671.7667854,0.5392991667839888,0.33907251700080615,0.0,0.0,0.0,True,7.833296455493671,available,medium,,52.0,43.0,0.8269230769230769,7.80259,7.833658333333333,4.1969772404496334e-16,bs_spot_repricing_constant_iv,2736418699.12912,460506210.3909736,828620.0,1081604.0,1.0,4.0,near,0.6967224196930334,0.6967224196930334,0.23108658106124155,0.6967224196930334,0.23108658106124155,15.0,0.24906697485514429,-0.4656358386317918,0.6967224196930334,front_month_concentrated,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,9月,2026-09-23,202609,rule_fourth_wednesday,medium,43.0,31.0,7.989,8.0,6.631,8.0,6.631,8.0,8.0,8.5,8.0,143312740.89778465,907606277.1345917,525459509.0161882,382146768.1184035,1.3750201567932168,0.5789509418942309,0.42104905810576915,524339.0,158460.0,,Positive Gamma,8.0,7.75,8.0,8.0,117209605.16436253,475681322.09316635,0.49503823096760435,0.2862924914457075,0.0,1.1189999999999998,0.0,True,7.806299933005264,available,medium,,58.0,44.0,0.7586206896551724,7.80259,7.833658333333333,2.5667894983016264e-15,bs_spot_repricing_constant_iv,907606277.1345917,143312740.89778468,524339.0,158460.0,2.0,4.0,next,0.23108658106124155,0.6967224196930334,0.23108658106124155,0.6967224196930334,0.23108658106124155,15.0,0.24906697485514429,-0.4656358386317918,0.11554329053062078,normal_expiry_structure,front_month_dominant,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF嘉实,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,134.0,96.0,3.237,3.2,2.9,4.1,2.9,3.2,3.2,3.1,3.2,11597526.227537643,39214958.85541495,25406242.541476294,13808716.313938651,1.8398699751569947,0.6478712022916762,0.3521287977083238,64539.0,8505.0,,Positive Gamma,3.2,2.85,3.2,3.0,3543883.3455532743,11467909.625621723,0.335053656600144,0.296383088050353,0.0,-0.04999999999999982,0.0,True,3.0477910852625443,available,medium,,34.0,28.0,0.8235294117647058,3.0355866666666667,3.048175,4.518394911469692e-17,bs_spot_repricing_constant_iv,39214958.85541494,11597526.227537641,64539.0,8505.0,3.0,4.0,deferred,0.10456702262812359,0.5690884982110013,0.297818485866201,0.5690884982110013,0.297818485866201,15.0,0.3435414540848581,-0.27127001234480025,0.052283511314061795,normal_expiry_structure,distributed_expiry,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF嘉实,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,225.0,161.0,3.237,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3832497.5034188703,10697881.848838469,7265189.67612867,3432692.172709801,2.1164699048424893,0.679124127447481,0.32087587255251915,17410.0,2142.0,,Positive Gamma,3.3,2.75,3.2,3.3,819756.7239330956,2792553.0894764373,0.31905167721535804,0.4105664638478379,0.19999999999999973,-0.3500000000000001,0.10000000000000009,True,2.8523417851798034,available,medium,,26.0,20.0,0.7692307692307693,2.8467616666666666,2.85935,3.4416136517932636e-13,bs_spot_repricing_constant_iv,10697881.84883847,3832497.5034188703,17410.0,2142.0,4.0,4.0,far,0.02852599329467404,0.5690884982110013,0.297818485866201,0.5690884982110013,0.297818485866201,15.0,0.3435414540848581,-0.27127001234480025,0.01426299664733702,low_expiry_influence,distributed_expiry,rule_estimate,,,,,,,,,,,,,,,,,,,,,,,,,
