market_type,underlying,commodity,exchange,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,net_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,total_oi,total_volume,total_amount,gamma_regime,adjusted_call_wall,adjusted_put_wall,adjusted_price_wall,adjusted_max_gamma_strike,adjusted_net_gex,adjusted_total_abs_gex,avg_liquidity_score,avg_pricing_quality_score,adjusted_call_wall_shift,adjusted_put_wall_shift,adjusted_price_wall_shift,adjusted_wall_available,zero_gamma,zero_gamma_status,zero_gamma_confidence,zero_gamma_reason,zero_gamma_total_contracts,zero_gamma_valid_contracts,zero_gamma_coverage,zero_gamma_bracket_low,zero_gamma_bracket_high,zero_gamma_residual_ratio,zero_gamma_method,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,expiry_structure_state,roll_state,expiry_date_quality,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,asset_class,option_product,futures_code,futures_price,futures_volume,futures_open_interest,futures_oi_change,futures_amount,futures_pct_change,volume_wall,amount_wall,price_wall_distance,call_oi_wall_distance,put_oi_wall_distance,volume_wall_distance,amount_wall_distance,call_oi_total,put_oi_total,oi_bias,oi_wall_width,oi_wall_width_ratio,nearest_wall_type,nearest_wall,nearest_wall_distance,commodity_price_state
ETF,上证50ETF华夏,,,10月,2026-10-28,202610,rule_fourth_wednesday,medium,58.0,42.0,3.041,3.1,3.0,3.2,3.0,3.0,3.2,3.2,3.0,16429965.505329896,94350176.5491689,55390071.0272494,38960105.5219195,1.421712551473614,0.5870690766369034,0.4129309233630966,60966.0,47426.0,,Positive Gamma,3.1,3.0,3.0,3.1,13404536.16275268,59867186.5915202,0.6222905304349605,0.2569498959523166,0.0,0.0,0.0,True,2.999807840651021,available,medium,,18.0,14.0,0.7777777777777778,2.9912666666666667,3.0024075,1.1427960687640876e-12,bs_spot_repricing_constant_iv,94350176.5491689,16429965.5053299,60966.0,47426.0,2.0,4.0,next,0.05188193435638917,0.8347997081373054,0.05188193435638917,0.8347997081373054,0.05188193435638917,23.0,0.05851247152301128,-0.7829177737809162,0.025940967178194586,low_expiry_influence,front_month_dominant,rule_estimate,False,False,next_month,9月,9月,,10月,3月,front_month_default,9月 DTE=23，默认使用前月,medium,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,上证50ETF华夏,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,114.0,82.0,3.041,3.0,3.0,3.5,2.7,3.0,3.0,3.0,3.0,68815880.56646344,185541674.48618144,127178777.52632245,58362896.95985898,2.1791032342653227,0.6854458863676707,0.3145541136323293,182818.0,74947.0,,Positive Gamma,3.0,3.0,3.0,3.0,32002559.35064601,72177057.36269845,0.39380298512576717,0.3411914733085974,0.0,0.0,0.0,True,2.890460497522964,available,medium,,24.0,18.0,0.75,2.8802550000000005,2.8918125000000003,3.842461063125436e-16,bs_spot_repricing_constant_iv,185541674.4861814,68815880.56646344,182818.0,74947.0,3.0,4.0,deferred,0.10202695244613601,0.8347997081373054,0.05188193435638917,0.8347997081373054,0.05188193435638917,23.0,0.05851247152301128,-0.7829177737809162,0.051013476223068004,normal_expiry_structure,front_month_dominant,rule_estimate,False,False,other_month,9月,9月,,10月,3月,front_month_default,9月 DTE=23，默认使用前月,medium,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,上证50ETF华夏,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,205.0,147.0,3.041,3.1,2.8,3.5,2.8,3.1,3.1,3.1,3.1,7909217.42808095,20534046.660578407,14221632.044329679,6312414.616248731,2.2529622828833045,0.6925878897330352,0.30741211026696486,22830.0,2643.0,,Positive Gamma,3.1,2.8,3.1,2.8,1266751.4121272785,5097240.571730167,0.2941868737823582,0.3613750590138343,0.0,0.0,0.0,True,2.852897593778143,available,medium,,20.0,16.0,0.8,2.8464358333333335,2.8575766666666667,3.020425989293315e-13,bs_spot_repricing_constant_iv,20534046.66057841,7909217.428080949,22830.0,2643.0,4.0,4.0,far,0.011291405060169395,0.8347997081373054,0.05188193435638917,0.8347997081373054,0.05188193435638917,23.0,0.05851247152301128,-0.7829177737809162,0.005645702530084697,low_expiry_influence,front_month_dominant,rule_estimate,False,False,far_month,9月,9月,,10月,3月,front_month_default,9月 DTE=23，默认使用前月,medium,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,上证50ETF华夏,,,9月,2026-09-23,202609,rule_fourth_wednesday,medium,23.0,17.0,3.041,3.1,3.0,3.1,3.0,3.0,3.1,3.1,3.0,360841963.4967324,1518129592.1795146,939485777.8381233,578643814.341391,1.6235994484922311,0.6188442559039662,0.38115574409603364,881349.0,444249.0,,Positive Gamma,3.0,3.0,3.0,3.0,284064179.9447022,997743345.8687896,0.4920780824886779,0.606652301471812,-0.10000000000000009,0.0,0.0,True,2.9922590319764266,available,medium,,28.0,21.0,0.75,2.9875958333333337,2.9993616666666667,1.0543124066975416e-15,bs_spot_repricing_constant_iv,1518129592.1795144,360841963.49673235,881349.0,444249.0,1.0,4.0,near,0.8347997081373054,0.8347997081373054,0.05188193435638917,0.8347997081373054,0.05188193435638917,23.0,0.05851247152301128,-0.7829177737809162,0.8347997081373054,front_month_concentrated,front_month_dominant,rule_estimate,True,False,primary_analysis,9月,9月,,10月,3月,front_month_default,9月 DTE=23，默认使用前月,medium,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,10月,2026-10-28,202610,rule_fourth_wednesday,medium,58.0,42.0,7.967,8.0,7.75,8.0,7.0,8.0,8.0,8.75,8.0,5935044.839636099,60458014.44609582,33196529.642865956,27261484.803229857,1.21770805524624,0.5490840204893577,0.4509159795106423,37891.0,43261.0,,Positive Gamma,8.0,7.75,8.0,8.0,4652291.78902052,46675211.347961314,0.7449595587084684,0.20116130198649365,0.0,0.0,0.0,True,,unavailable,unavailable,insufficient_valid_contracts,20.0,0.0,0.0,,,,bs_spot_repricing_constant_iv,60458014.44609582,5935044.839636099,37891.0,43261.0,2.0,4.0,next,0.020720615923250637,0.8382770383983166,0.020720615923250637,0.8382770383983166,0.020720615923250637,23.0,0.024121853906127012,-0.817556422475066,0.010360307961625318,low_expiry_influence,front_month_dominant,rule_estimate,False,False,next_month,9月,9月,,10月,3月,front_month_default,9月 DTE=23，默认使用前月,medium,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,114.0,82.0,7.967,8.25,6.5,9.823,6.25,8.0,8.25,8.25,8.0,108772858.94211474,334071280.2042848,221422069.57319975,112649210.63108505,1.965589180188177,0.662798877646112,0.33720112235388805,224255.0,181400.0,,Positive Gamma,9.578,6.5,7.75,7.75,39016373.65878894,136113343.69357663,0.4232609715322304,0.3097439976431559,1.3279999999999994,0.0,-0.25,True,7.362637411431606,available,medium,,54.0,46.0,0.8518518518518519,7.347344444444444,7.378327222222222,2.330974817794266e-16,bs_spot_repricing_constant_iv,334071280.2042848,108772858.94211473,224255.0,181400.0,3.0,4.0,deferred,0.11449536924957085,0.8382770383983166,0.020720615923250637,0.8382770383983166,0.020720615923250637,23.0,0.024121853906127012,-0.817556422475066,0.057247684624785425,normal_expiry_structure,front_month_dominant,rule_estimate,False,False,other_month,9月,9月,,10月,3月,front_month_default,9月 DTE=23，默认使用前月,medium,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,3月,2027-03-24,202703,rule_fourth_wednesday,medium,205.0,147.0,7.967,8.0,7.75,6.75,6.25,8.0,8.0,6.5,7.75,28973665.031695962,77341289.94014193,53157477.48591895,24183812.45422299,2.1980602763331705,0.6873104589677781,0.312689541032222,57087.0,3997.0,,Positive Gamma,8.0,8.75,8.0,8.0,9305306.302294213,22737813.559335753,0.29376054079064984,0.28606972447262197,0.0,1.0,0.25,True,7.2443693479871865,available,medium,,26.0,20.0,0.7692307692307693,7.223413333333333,7.254396111111111,7.761326101541103e-17,bs_spot_repricing_constant_iv,77341289.94014193,28973665.03169596,57087.0,3997.0,4.0,4.0,far,0.026506976428861823,0.8382770383983166,0.020720615923250637,0.8382770383983166,0.020720615923250637,23.0,0.024121853906127012,-0.817556422475066,0.013253488214430911,low_expiry_influence,front_month_dominant,rule_estimate,False,False,far_month,9月,9月,,10月,3月,front_month_default,9月 DTE=23，默认使用前月,medium,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF南方,,,9月,2026-09-23,202609,rule_fourth_wednesday,medium,23.0,17.0,7.967,8.0,7.75,8.0,6.631,8.0,8.25,8.25,8.0,369939625.1093975,2445900521.733386,1407920073.4213915,1037980448.3119943,1.3564032691665897,0.5756244217257095,0.4243755782742904,976332.0,1199047.0,,Positive Gamma,8.0,7.75,8.0,8.0,376742510.5130717,1905266457.9950705,0.6077829264419236,0.527796198098328,0.0,0.0,0.0,True,7.818513894833284,available,medium,,58.0,47.0,0.8103448275862069,7.81208611111111,7.843068888888888,3.478333660282079e-14,bs_spot_repricing_constant_iv,2445900521.733386,369939625.1093974,976332.0,1199047.0,1.0,4.0,near,0.8382770383983166,0.8382770383983166,0.020720615923250637,0.8382770383983166,0.020720615923250637,23.0,0.024121853906127012,-0.817556422475066,0.8382770383983166,front_month_concentrated,front_month_dominant,rule_estimate,True,False,primary_analysis,9月,9月,,10月,3月,front_month_default,9月 DTE=23，默认使用前月,medium,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF嘉实,,,10月,2026-10-28,202610,rule_fourth_wednesday,medium,58.0,42.0,3.233,3.4,3.1,3.4,3.1,3.1,3.4,3.4,3.1,2690225.6122077205,11164011.07064094,6927118.341424331,4236892.72921661,1.6349524956477093,0.6204865166822731,0.379513483317727,10755.0,12089.0,,Positive Gamma,3.4,3.1,3.1,3.1,1603287.466780874,7337733.1844965005,0.6266128689431283,0.21266936686626992,0.0,0.0,0.0,True,3.0815426763737364,available,medium,,18.0,15.0,0.8333333333333334,3.0751483333333334,3.0873125000000003,3.9096645641706015e-16,bs_spot_repricing_constant_iv,11164011.07064094,2690225.6122077205,10755.0,12089.0,2.0,4.0,next,0.04115045894154444,0.724921234591462,0.04115045894154444,0.724921234591462,0.04115045894154444,23.0,0.05371619822129802,-0.6837707756499175,0.02057522947077222,low_expiry_influence,front_month_dominant,rule_estimate,False,False,next_month,9月,9月,,10月,3月,front_month_default,9月 DTE=23，默认使用前月,medium,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
ETF,中证500ETF嘉实,,,12月,2026-12-23,202612,rule_fourth_wednesday,medium,114.0,82.0,3.233,4.1,2.85,4.1,2.85,4.1,4.1,3.1,3.2,21241353.78274381,50150113.87434411,35695733.82854396,14454380.045800151,2.4695444367339485,0.7117777223394353,0.2882222776605648,88404.0,70063.0,,Positive Gamma,4.1,2.9,3.2,4.1,8518913.209848538,16741728.23485943,0.3388109380566714,0.3130532005043531,0.0,0.04999999999999982,0.0,True,2.9566912872954614,available,medium,,34.0,28.0,0.8235294117647058,2.9563988888888892,2.968971666666667,5.567731837285019e-17,bs_spot_repricing_constant_iv,50150113.87434411,21241353.78274381,88404.0,70063.0,3.0,4.0,deferred,0.18485293402539557,0.724921234591462,0.04115045894154444,0.724921234591462,0.04115045894154444,23.0,0.05371619822129802,-0.6837707756499175,0.09242646701269779,normal_expiry_structure,front_month_dominant,rule_estimate,False,False,other_month,9月,9月,,10月,3月,front_month_default,9月 DTE=23，默认使用前月,medium,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
