underlying,contract_month,strike,underlying_price,call_gex,put_gex,net_gex,total_abs_gex,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,avg_iv,avg_delta,avg_gamma,price_wall_score,in_price_range
上证50ETF华夏,12月,2.7,3.057,301452.31366272003,-2019697.5501922497,-1718245.2365295296,2321149.86385497,638.0,4325.0,4963.0,172.0,641.0,813.0,0.0012125,0.3515,0.50265,0.3667536056324789,False
上证50ETF华夏,12月,2.75,3.057,237000.18726449995,-1939143.6532195199,-1702143.46595502,2176143.84048402,435.0,3728.0,4163.0,61.0,181.0,242.0,0.0011940000000000002,0.32295,0.5698,0.31963809625566264,False
上证50ETF华夏,12月,2.8,3.057,886692.1775184,-5073549.23271105,-4186857.05519265,5960241.41022945,1440.0,8981.0,10421.0,186.0,446.0,632.0,0.0012105,0.28859999999999997,0.6317,0.496906321876928,False
上证50ETF华夏,12月,2.85,3.057,657297.34079508,-2443313.1081902394,-1786015.7673951595,3100610.4489853196,859.0,4056.0,4915.0,66.0,560.0,626.0,0.0018185,0.3077,0.7317,0.38293825908070017,False
上证50ETF华夏,12月,2.9,3.057,1475046.99977076,-1470860.98238619,4186.017384570092,2945907.98215695,1677.0,2339.0,4016.0,213.0,739.0,952.0,0.001661,0.30515000000000003,0.80705,0.37766797781268596,False
上证50ETF华夏,12月,2.95,3.057,1161902.65817916,-1048630.3902899998,113272.2678891602,2210533.0484691598,998.0,1603.0,2601.0,79.0,502.0,581.0,0.001849,0.21715000000000004,0.9729,0.29983866336556403,True
上证50ETF华夏,12月,3.0,3.057,6613280.588317679,-1602847.5786602998,5010433.009657379,8216128.166977979,5108.0,2414.0,7522.0,946.0,169.0,1115.0,0.001901,0.16065000000000002,1.04795,0.5222999778498388,True
上证50ETF华夏,12月,3.1,3.057,6036603.7761207,-1056380.21838072,4980223.5577399805,7092983.994501419,4734.0,1593.0,6327.0,1015.0,124.0,1139.0,0.0020505,0.04865,1.03705,0.4999804290951164,True
上证50ETF华夏,12月,3.2,3.057,6168179.087986319,-1790793.2455889399,4377385.84239738,7958972.333575259,5347.0,2734.0,8081.0,1059.0,110.0,1169.0,0.0021425000000000003,-0.04610000000000003,0.9676499999999999,0.5253221144400576,True
上证50ETF华夏,12月,3.3,3.057,4311355.116538079,-1238929.0040118601,3072426.1125262193,5550284.12054994,4349.0,2102.0,6451.0,769.0,136.0,905.0,0.00233,-0.12035000000000001,0.84575,0.47218130284858856,False
上证50ETF华夏,12月,3.4,3.057,2691018.6519942,-725917.0744373399,1965101.5775568602,3416935.7264315397,3260.0,1346.0,4606.0,461.0,32.0,493.0,0.00248,-0.17980000000000002,0.7302,0.37685386467184584,False
上证50ETF华夏,12月,3.5,3.057,4738088.9037699,-479389.9665322799,4258698.93723762,5217478.87030218,6998.0,906.0,7904.0,1238.0,12.0,1250.0,0.0024635,-0.2384,0.6453500000000001,0.4902681619951941,False
上证50ETF华夏,7月,2.7,3.057,134542.6153281,-2038235.2533711002,-1903692.6380430001,2172777.8686992,785.0,16842.0,17627.0,324.0,3056.0,3380.0,0.0013850000000000002,0.49015000000000003,0.15645,0.49843211518329544,False
上证50ETF华夏,7月,2.75,3.057,576909.13508712,-2147344.5866407193,-1570435.4515535994,2724253.721727839,1711.0,13784.0,15495.0,350.0,2244.0,2594.0,0.0012050000000000001,0.4822,0.26375,0.4980724775944581,False
上证50ETF华夏,7月,2.8,3.057,2318075.7441964196,-7725318.866882639,-5407243.122686219,10043394.61107906,3918.0,29768.0,33686.0,1923.0,10916.0,12839.0,0.001082,0.46625,0.4554,0.7404385696967593,False
上证50ETF华夏,7月,2.85,3.057,2578642.5000316496,-27174362.878203478,-24595720.378171828,29753005.378235128,2769.0,48691.0,51460.0,1092.0,11346.0,12438.0,0.0010355,0.43524999999999997,0.7968500000000001,0.8468726147564382,False
上证50ETF华夏,7月,2.9,3.057,9206219.730626998,-41728175.56786463,-32521955.837237626,50934395.29849163,6962.0,37328.0,44290.0,6543.0,19086.0,25629.0,0.001002,0.38285,1.3056,0.8848942954592001,False
上证50ETF华夏,7月,2.95,3.057,28903638.966295138,-85306936.87311254,-56403297.90681741,114210575.83940768,16977.0,43935.0,60912.0,26284.0,38199.0,64483.0,0.0009265,0.30710000000000004,1.94975,0.9416513562228692,True
上证50ETF华夏,7月,3.0,3.057,300604828.1690462,-245356393.4246938,55248434.74435243,545961221.59374,84336.0,84128.0,168464.0,117437.0,103717.0,221154.0,0.0015079999999999998,0.2762,3.46745,0.9897884582812622,True
上证50ETF华夏,7月,3.1,3.057,634773158.119258,-188069449.61117446,446703708.5080836,822842607.7304325,169051.0,64034.0,233085.0,250479.0,148990.0,399469.0,0.00185,-0.13434999999999997,3.5804,0.9974689762065176,True
上证50ETF华夏,7月,3.2,3.057,206326994.93454313,-19854897.802164447,186472097.1323787,226181892.73670757,127864.0,11709.0,139573.0,115024.0,31204.0,146228.0,0.0022315,-0.35055000000000003,1.7706,0.9783356479879263,True
上证50ETF华夏,7月,3.3,3.057,52252651.44864,-2597035.3518510005,49655616.096788995,54849686.800491,86500.0,2550.0,89050.0,40912.0,2100.0,43012.0,0.0029404999999999995,-0.4072,0.8681000000000001,0.9188335068468441,False
上证50ETF华夏,7月,3.4,3.057,14861078.869631756,-1424103.5242545297,13436975.345377225,16285182.393886287,59828.0,2037.0,61865.0,14553.0,1145.0,15698.0,0.0034795,-0.43625,0.50695,0.8196403032605406,False
上证50ETF华夏,7月,3.5,3.057,9498825.925038809,-193093.40388780003,9305732.521151008,9691919.32892661,55271.0,390.0,55661.0,6475.0,174.0,6649.0,0.0040195,-0.45315,0.35685,0.7277619535139839,False
上证50ETF华夏,8月,2.8,3.057,1326087.8426203197,-15115255.998368219,-13789168.155747898,16441343.84098854,1768.0,21011.0,22779.0,878.0,11062.0,11940.0,0.001061,0.37995,0.7862,0.7675519872377292,False
上证50ETF华夏,8月,2.85,3.057,739616.6487563999,-22805320.10030334,-22065703.45154694,23544936.74905974,808.0,24369.0,25177.0,371.0,11451.0,11822.0,0.001056,0.33244999999999997,0.99045,0.7962282039670779,False
上证50ETF华夏,8月,2.9,3.057,2560902.0400449894,-17854735.09321935,-15293833.053174362,20415637.13326434,2391.0,15489.0,17880.0,1040.0,8190.0,9230.0,0.0010565000000000001,0.27435,1.1898,0.7460119063455793,False
上证50ETF华夏,8月,2.95,3.057,9740555.74282221,-17136834.653731678,-7396278.910909468,26877390.39655389,5673.0,12921.0,18594.0,2022.0,9731.0,11753.0,0.0015854999999999997,0.29490000000000005,1.62825,0.7738240595829637,True
上证50ETF华夏,8月,3.0,3.057,36331412.394311994,-28723120.436009247,7608291.958302747,65054532.83032124,15850.0,19975.0,35825.0,11764.0,15876.0,27640.0,0.001724,0.17615,1.99575,0.8898394633445974,True
上证50ETF华夏,8月,3.1,3.057,69961176.8504172,-27682714.986269128,42278461.864148065,97643891.83668633,31770.0,19269.0,51039.0,25859.0,15996.0,41855.0,0.001927,-0.034150000000000014,1.94685,0.9246632777054662,True
上证50ETF华夏,8月,3.2,3.057,43270143.42846195,-6834733.8324408,36435409.596021146,50104877.26090275,25935.0,5720.0,31655.0,18516.0,2778.0,21294.0,0.0021365,-0.19115,1.5319500000000001,0.8652387316995911,True
