underlying,contract_month,strike,underlying_price,call_gex,put_gex,net_gex,total_abs_gex,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,avg_iv,avg_delta,avg_gamma,liquidity_adjusted_call_gex,liquidity_adjusted_put_gex,liquidity_adjusted_net_gex,liquidity_adjusted_abs_gex,active_gex,stable_gex,avg_spread_bps,avg_liquidity_score,avg_pricing_quality_score,avg_volume_oi_ratio,avg_oi_change_rate,price_wall_score,in_price_range
上证50ETF华夏,12月,2.7,3.007,412124.20581287006,-3106219.16189205,-2694094.95607918,3518343.36770492,769.0,6129.0,6898.0,126.0,2216.0,2342.0,0.12459999999999999,0.3207,0.5766,139300.37813598345,-469385.81145255076,-330085.43331656733,608686.1895885342,-1055557.76896022,-1638537.1871189598,57.20655577805759,0.6037609903079122,0.409541047188106,0.2627044762147848,0.1891068102835858,0.4715784449041872,False
上证50ETF华夏,12月,2.75,3.007,297944.64701949,-2061569.4495839602,-1763624.80256447,2359514.0966034504,491.0,3734.0,4225.0,20.0,785.0,805.0,0.12505,0.28679999999999994,0.64085,85676.9422813757,-286953.46034486825,-201276.51806349255,372630.40262624394,-421268.1587051,-1342356.6438593701,125.85460152412415,0.4995090214949018,0.41883912297122683,0.12548175678550272,0.033820856403673535,0.3618820601441126,False
上证50ETF华夏,12月,2.8,3.007,978114.608526,-5153024.4826073395,-4174909.8740813397,6131139.091133339,1452.0,8718.0,10170.0,52.0,550.0,602.0,0.12605,0.24985,0.6993499999999999,264017.189209885,-1027419.170024553,-763401.9808146679,1291436.359234438,-290064.4108955,-3884845.463185839,78.23892200479995,0.5571889696692287,0.42443354489395857,0.04945026818267136,0.0240379716614209,0.5178623426685465,False
上证50ETF华夏,12月,2.85,3.007,925793.6961924001,-3052059.0063713603,-2126265.31017896,3977852.7025637603,956.0,4958.0,5914.0,36.0,363.0,399.0,0.18285,0.27375,0.8758999999999999,242429.10336152217,-590260.4759487056,-347831.3725871834,832689.5793102278,-188593.99449456006,-1937671.3156844003,101.14987704258075,0.5412544803292388,0.42133942949160336,0.055435954908258665,0.0377564300053892,0.4178610422995204,False
上证50ETF华夏,12月,2.9,3.007,1784865.2086089,-1609273.22847389,175591.98013500986,3394138.43708279,1727.0,2527.0,4254.0,45.0,261.0,306.0,0.20285000000000003,0.1952,0.9236500000000001,562815.505204958,-351451.486288112,211364.01891684602,914266.99149307,-119705.24535777,295297.22549277986,99.64847695624184,0.5461494730168487,0.49136363636363645,0.06467063645460526,0.01572428315003576,0.37273723732272185,True
上证50ETF华夏,12月,2.95,3.007,1306838.2999210001,-984924.98941231,321913.3105086902,2291763.28933331,1100.0,1537.0,2637.0,74.0,55.0,129.0,0.20315,0.14864999999999998,1.0113,292344.4085040651,-208575.18844336827,83769.22006069685,500919.5969474334,52670.02584549001,269243.28466320026,96.82596095988816,0.543150575645646,0.4008001580559123,0.05152836103389129,0.025786996028941946,0.2902182360727219,True
上证50ETF华夏,12月,3.0,3.007,9090543.13635582,-1635432.6900153002,7455110.446340519,10725975.826371118,7863.0,2530.0,10393.0,704.0,291.0,995.0,0.21244999999999997,0.09259999999999999,0.99675,2287106.705650806,-399266.2633062641,1887840.442344542,2686372.9689570703,625798.8549826499,6829311.591357869,53.12852624948238,0.5650744496415668,0.4386531558794097,0.102276509936215,0.03424744221381477,0.5898335969981358,True
上证50ETF华夏,12月,3.1,3.007,5722446.614177439,-1140905.3982097502,4581541.215967689,6863352.01238719,5117.0,1809.0,6926.0,381.0,191.0,572.0,0.22394999999999998,-0.0040999999999999925,0.96715,1158702.9170224986,-308848.46238463133,849854.4546378672,1467551.37940713,305619.71905166993,4275921.496916019,101.30737812658231,0.5549622745363739,0.4255392107424325,0.09002044259409962,0.011979623952078848,0.4965365997994464,True
上证50ETF华夏,12月,3.2,3.007,6151604.68399896,-1637757.4008132003,4513847.28318576,7789362.084812161,6264.0,2705.0,8969.0,734.0,14.0,748.0,0.2358,-0.08595,0.87785,1540626.9556432771,-498767.0965709437,1041859.8590723334,2039394.0522142209,712353.4169327,3801493.8662530594,86.47012687427956,0.5552945231184379,0.4996617928815879,0.06117656154465384,0.000197490774907749,0.5379680882591944,False
上证50ETF华夏,12月,3.3,3.007,4121074.237699261,-1165682.4208795503,2955391.8168197107,5286756.658578811,4874.0,2081.0,6955.0,596.0,25.0,621.0,0.2485,-0.15335,0.7773000000000001,1141655.835860479,-361308.19803245267,780347.6378280262,1502964.0338929316,489927.23979729007,2465464.5770224207,127.00442639115386,0.5252554486289567,0.5588065894269605,0.0671474743546995,0.0010686403843311392,0.46840864938507626,False
上证50ETF华夏,12月,3.4,3.007,2012373.1077028,-678754.2478945799,1333618.85980822,2691127.35559738,2846.0,1346.0,4192.0,196.0,25.0,221.0,0.26555,-0.20435000000000003,0.6698500000000001,479354.036413891,-220316.79054890515,259037.24586498586,699670.8269627962,125982.41661455002,1207636.4431936704,141.0633685217599,0.4332091615048641,0.6591418596501855,0.043721069377108616,-0.01684707280880077,0.3450505077313217,False
上证50ETF华夏,12月,3.5,3.007,4326378.3004277805,-412995.588075,3913382.7123527806,4739373.88850278,7409.0,900.0,8309.0,748.0,3.0,751.0,0.28049999999999997,-0.24525,0.57665,1791730.0031634085,-140369.45986139702,1651360.5433020114,1932099.4630248055,435407.12030591,3477975.592046871,90.47466042819748,0.4818119304508015,0.794007914505838,0.05214581365006523,0.018523175763276622,0.4751908044218825,False
上证50ETF华夏,7月,2.7,3.007,42415.528495080005,-1613263.57511808,-1570848.046623,1655679.10361316,403.0,15328.0,15731.0,490.0,793.0,1283.0,0.15255,0.4949,0.1164,38767.45666544088,-260605.34750180892,-221837.89083636805,299372.8041672498,-41047.2856404,-1529800.7609826,3382.5620829230934,0.5413866127837181,0.9960694398951851,0.6338081397607712,-0.09250386037153151,0.43387305401844234,False
上证50ETF华夏,7月,2.75,3.007,189955.365392,-2471481.3372680005,-2281525.9718760005,2661436.7026600004,650.0,11884.0,12534.0,1106.0,2399.0,3505.0,0.13975,0.48675,0.2766,160882.04523747484,0.0,160882.04523747484,160882.04523747484,-308957.7722810001,-1972568.1995950004,2551.1408339889854,0.577238722165183,0.46121212121212124,0.9517032597157133,-0.15147808030433266,0.5048743367416415,False
上证50ETF华夏,7月,2.8,3.007,955069.1382397001,-8338175.849562933,-7383106.711323232,9293244.987802632,1441.0,25011.0,26452.0,1423.0,3861.0,5284.0,0.11829999999999999,0.47085,0.5508500000000001,852869.1857044366,0.0,852869.1857044366,852869.1857044366,-344042.45954933006,-7039064.251773902,3382.066276803119,0.49510408110205906,0.4868932038834951,0.5709403754090047,-0.06183686677733818,0.7011292986792121,False
上证50ETF华夏,7月,2.85,3.007,2520697.7524979403,-38907337.53999228,-36386639.78749434,41428035.29249022,2031.0,41772.0,43803.0,1135.0,13113.0,14248.0,0.1176,0.4262,1.2013500000000001,1635346.539217039,0.0,1635346.539217039,1635346.539217039,-10805067.985281471,-25581571.80221287,326.8327916215244,0.42184962048352564,0.4563262684649968,0.43637821254044074,0.01871207234261467,0.8576510246161189,False
上证50ETF华夏,7月,2.9,3.007,11611530.776944702,-42544440.62599105,-30932909.849046342,54155971.40293575,6818.0,22608.0,29426.0,6761.0,20107.0,26868.0,0.19785,0.40854999999999997,1.9823499999999998,8235449.18138431,0.0,8235449.18138431,8235449.18138431,-26323524.90907001,-4609384.939976332,349.97790543526236,0.7079084240630241,0.40018315018315026,0.9405076096910119,-0.0408410642101317,0.8668194148424996,True
上证50ETF华夏,7月,2.95,3.007,76971700.49445935,-94662269.98577888,-17690569.491319537,171633970.48023823,21963.0,28208.0,50171.0,45932.0,52296.0,98228.0,0.19585000000000002,0.26275000000000004,3.79365,31307295.493226167,0.0,31307295.493226167,31307295.493226167,-17690569.491319537,0.0,147.40896358543395,0.7477733122234402,0.25522388059701495,1.9726387859187404,0.2283426949153381,0.9497069836713318,True
上证50ETF华夏,7月,3.0,3.007,356098643.8458881,-259560589.85417986,96538053.99170822,615659233.700068,82853.0,59824.0,142677.0,166621.0,149056.0,315677.0,0.19995,0.03710000000000002,4.77585,18003936.485720117,0.0,18003936.485720117,18003936.485720117,96538053.99170822,0.0,162.40289538069584,0.7043633979811577,0.03133514986376024,2.2513094715705435,0.07546975036898532,0.9967654228927065,True
