underlying,contract_month,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,expiry_pressure,underlying_price,call_wall,put_wall,price_wall,gamma_regime,price_wall_distance,expiry_structure_state
上证50ETF华夏,7月,1041432908.6004486,585675721.333093,495612.0,682701.0,1,4,near,0.4482490166137514,0.4482490166137514,0.35705135839364355,0.4482490166137514,0.4482490166137514,3.079,3.1,3.1,3.1,Positive Gamma,0.006820396232543047,normal_expiry_structure
上证50ETF华夏,8月,829550140.4569639,307168390.8621774,531652.0,533999.0,2,4,next,0.35705135839364355,0.4482490166137514,0.35705135839364355,0.4482490166137514,0.17852567919682177,3.079,3.1,3.0,3.1,Positive Gamma,0.006820396232543047,normal_expiry_structure
上证50ETF华夏,9月,382813318.8853829,142023191.4141989,438460.0,348813.0,3,4,deferred,0.1647688413914457,0.4482490166137514,0.35705135839364355,0.4482490166137514,0.08238442069572285,3.079,3.1,2.65,3.2,Positive Gamma,0.03929847353036697,normal_expiry_structure
上证50ETF华夏,12月,69539255.78671247,21075683.793568082,84961.0,12919.0,4,4,far,0.029930783601159344,0.4482490166137514,0.35705135839364355,0.4482490166137514,0.014965391800579672,3.079,3.0,2.8,3.0,Positive Gamma,-0.02565768106528099,low_expiry_influence
中证500ETF南方,7月,1211727261.3183486,331710104.8821452,442410.0,1425293.0,1,4,near,0.40240305068574506,0.40240305068574506,0.3782140415954326,0.40240305068574506,0.40240305068574506,7.792,8.0,7.75,7.75,Positive Gamma,-0.005390143737166286,normal_expiry_structure
中证500ETF南方,8月,1138888644.1929061,152018185.84919038,583037.0,855818.0,2,4,next,0.3782140415954326,0.40240305068574506,0.3782140415954326,0.40240305068574506,0.1891070207977163,7.792,7.75,7.5,7.5,Positive Gamma,-0.03747433264887057,normal_expiry_structure
中证500ETF南方,9月,541082637.00651,-117463627.01115906,419931.0,280984.0,3,4,deferred,0.17968837605222757,0.40240305068574506,0.3782140415954326,0.40240305068574506,0.08984418802611378,7.792,8.35,6.631,8.104,Negative Gamma,0.040041067761806826,normal_expiry_structure
中证500ETF南方,12月,119529278.0800512,22880730.598497283,90978.0,22048.0,4,4,far,0.039694531666594784,0.40240305068574506,0.3782140415954326,0.40240305068574506,0.019847265833297392,7.792,8.35,7.613,7.613,Positive Gamma,-0.02297227926078016,low_expiry_influence
中证500ETF嘉实,7月,190362272.62932706,76022608.63206787,196001.0,322670.0,1,4,near,0.5049162608236606,0.5049162608236606,0.25280170784671063,0.5049162608236606,0.5049162608236606,3.159,3.2,3.1,3.2,Positive Gamma,0.012978790756568603,near_month_pressure
中证500ETF嘉实,8月,95310671.0244811,35583221.256167516,110021.0,112174.0,2,4,next,0.25280170784671063,0.5049162608236606,0.25280170784671063,0.5049162608236606,0.12640085392335532,3.159,3.4,3.1,3.3,Positive Gamma,0.044634377967711414,normal_expiry_structure
中证500ETF嘉实,9月,61592713.10543519,7556059.496561938,104460.0,56905.0,3,4,deferred,0.16336830804566527,0.5049162608236606,0.25280170784671063,0.5049162608236606,0.08168415402283263,3.159,3.9,2.8,3.3,Positive Gamma,0.044634377967711414,normal_expiry_structure
中证500ETF嘉实,12月,29751855.647254646,7889629.038916949,52129.0,10567.0,4,4,far,0.07891372328396347,0.5049162608236606,0.25280170784671063,0.5049162608236606,0.039456861641981734,3.159,3.0,2.9,3.2,Positive Gamma,0.012978790756568603,low_expiry_influence
创业板ETF易方达,7月,1028620795.4768056,153782755.94165236,867204.0,2661256.0,1,4,near,0.5357936276138877,0.5357936276138877,0.3107016691458316,0.5357936276138877,0.5357936276138877,3.709,3.7,3.7,3.7,Positive Gamma,-0.002426530062011323,near_month_pressure
创业板ETF易方达,8月,596487493.6942469,74369822.84638922,723464.0,1038383.0,2,4,next,0.3107016691458316,0.5357936276138877,0.3107016691458316,0.5357936276138877,0.1553508345729158,3.709,3.8,3.5,3.6,Positive Gamma,-0.029387975195470428,normal_expiry_structure
创业板ETF易方达,9月,253214151.08927783,-11050344.141652286,509338.0,353474.0,3,4,deferred,0.13189557237408048,0.5357936276138877,0.3107016691458316,0.5357936276138877,0.06594778618704024,3.709,3.9,2.9,3.8,Negative Gamma,0.024534915071447783,normal_expiry_structure
创业板ETF易方达,12月,41485378.39119515,8542529.25898153,84163.0,30657.0,4,4,far,0.021609130866200196,0.5357936276138877,0.3107016691458316,0.5357936276138877,0.010804565433100098,3.709,3.9,3.2,3.7,Positive Gamma,-0.002426530062011323,low_expiry_influence
沪深300ETF华泰柏瑞,7月,1079863718.1383967,408574382.43806785,364406.0,648791.0,1,4,near,0.40224531377567335,0.40224531377567335,0.3993471148557107,0.40224531377567335,0.40224531377567335,4.787,4.8,4.8,4.8,Positive Gamma,0.0027156883225400996,normal_expiry_structure
沪深300ETF华泰柏瑞,8月,1072083242.5071483,278644499.8391985,476936.0,577938.0,2,4,next,0.3993471148557107,0.40224531377567335,0.3993471148557107,0.40224531377567335,0.19967355742785536,4.787,4.8,4.7,4.7,Positive Gamma,-0.01817422185084594,normal_expiry_structure
沪深300ETF华泰柏瑞,9月,442243613.0654481,92848779.24377355,375476.0,233253.0,3,4,deferred,0.16473413997968953,0.40224531377567335,0.3993471148557107,0.40224531377567335,0.08236706998984476,4.787,5.0,4.5,5.0,Positive Gamma,0.044495508669312844,normal_expiry_structure
沪深300ETF华泰柏瑞,12月,90399354.7639025,31085356.63620506,79129.0,15809.0,4,4,far,0.033673431388926506,0.40224531377567335,0.3993471148557107,0.40224531377567335,0.016836715694463253,4.787,5.0,4.4,5.0,Positive Gamma,0.044495508669312844,low_expiry_influence
沪深300ETF嘉实,7月,283936641.0208673,165494499.10548526,112089.0,179468.0,1,4,near,0.48890418179241296,0.48890418179241296,0.31142507040304357,0.48890418179241296,0.48890418179241296,4.995,5.0,5.0,5.0,Positive Gamma,0.0010010010010010895,near_month_pressure
沪深300ETF嘉实,8月,180863636.9109075,68685829.5084075,84235.0,65547.0,2,4,next,0.31142507040304357,0.48890418179241296,0.31142507040304357,0.48890418179241296,0.15571253520152178,4.995,5.0,4.9,5.0,Positive Gamma,0.0010010010010010895,normal_expiry_structure
沪深300ETF嘉实,9月,93758492.364291,23212763.2422585,89297.0,89304.0,3,4,deferred,0.16144066095395226,0.48890418179241296,0.31142507040304357,0.48890418179241296,0.08072033047697613,4.995,5.25,4.2,5.0,Positive Gamma,0.0010010010010010895,normal_expiry_structure
沪深300ETF嘉实,12月,22202555.94152775,7118094.178851751,19390.0,2174.0,4,4,far,0.03823008685059123,0.48890418179241296,0.31142507040304357,0.48890418179241296,0.019115043425295616,4.995,5.25,4.6,4.8,Positive Gamma,-0.03903903903903905,low_expiry_influence
深证100ETF易方达,7月,71205887.894391,26919056.339199003,59384.0,90730.0,1,4,near,0.6726072171133877,0.6726072171133877,0.17778974488813482,0.6726072171133877,0.6726072171133877,3.81,3.8,3.8,3.8,Positive Gamma,-0.002624671916010568,front_month_concentrated
深证100ETF易方达,8月,18821797.211169,2314223.5812210003,16567.0,8056.0,2,4,next,0.17778974488813482,0.6726072171133877,0.17778974488813482,0.6726072171133877,0.08889487244406741,3.81,3.8,3.7,3.8,Positive Gamma,-0.002624671916010568,normal_expiry_structure
深证100ETF易方达,9月,12025762.738749,98576.65768499929,22457.0,102092.0,3,4,deferred,0.11359474684695264,0.6726072171133877,0.17778974488813482,0.6726072171133877,0.05679737342347632,3.81,3.9,3.0,3.9,Positive Gamma,0.023622047244094446,normal_expiry_structure
深证100ETF易方达,12月,3812035.133979,1401997.018581,5443.0,2049.0,4,4,far,0.03600829115152492,0.6726072171133877,0.17778974488813482,0.6726072171133877,0.01800414557576246,3.81,4.5,4.5,3.9,Positive Gamma,0.023622047244094446,low_expiry_influence
科创50ETF华夏,7月,454491339.5138458,179060850.08243713,1011215.0,2811575.0,1,4,near,0.5070652861368684,0.5070652861368684,0.2898507298949709,0.5070652861368684,0.5070652861368684,2.016,2.0,1.95,2.0,Positive Gamma,-0.007936507936507908,near_month_pressure
科创50ETF华夏,8月,259798195.7957837,60447268.18529281,746814.0,1287475.0,2,4,next,0.2898507298949709,0.5070652861368684,0.2898507298949709,0.5070652861368684,0.14492536494748545,2.016,2.55,1.9,2.0,Positive Gamma,-0.007936507936507908,normal_expiry_structure
科创50ETF华夏,9月,142472462.54137346,21646861.8863616,810535.0,765769.0,3,4,deferred,0.15895317183038418,0.5070652861368684,0.2898507298949709,0.5070652861368684,0.07947658591519209,2.016,2.2,1.8,2.1,Positive Gamma,0.04166666666666674,normal_expiry_structure
科创50ETF华夏,12月,39555206.14542337,8681697.193236481,211277.0,69033.0,4,4,far,0.044130812137776476,0.5070652861368684,0.2898507298949709,0.5070652861368684,0.022065406068888238,2.016,2.55,1.3,2.0,Positive Gamma,-0.007936507936507908,low_expiry_influence
科创50ETF易方达,7月,99019065.92381951,28683285.438801922,227117.0,531208.0,1,4,near,0.5472883408390856,0.5472883408390856,0.23903314239891385,0.5472883408390856,0.5472883408390856,1.952,1.95,1.9,1.95,Positive Gamma,-0.0010245901639344135,near_month_pressure
科创50ETF易方达,8月,43247474.35490304,11271954.690304,133750.0,168403.0,2,4,next,0.23903314239891385,0.5472883408390856,0.23903314239891385,0.5472883408390856,0.11951657119945693,1.952,2.45,1.85,2.0,Positive Gamma,0.024590163934426146,normal_expiry_structure
