underlying,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,underlying_price,call_wall,put_wall,price_wall,gamma_regime,price_wall_distance,expiry_structure_state,roll_state,expiry_date_quality
上证50ETF华夏,8月,2026-08-26,202608,rule_fourth_wednesday,medium,20.0,14.0,1530102512.7420418,469466855.6091124,811094.0,259602.0,1,4,near,0.7084223002396433,0.7084223002396433,0.23880929430992165,0.7084223002396433,0.23880929430992165,20.0,0.2521128894813545,-0.4696130059297216,0.7084223002396433,3.029,3.1,3.0,3.1,Positive Gamma,0.023440079234070765,front_month_concentrated,front_month_dominant,rule_estimate
上证50ETF华夏,9月,2026-09-23,202609,rule_fourth_wednesday,medium,48.0,34.0,515797852.73015463,133907407.64079574,521107.0,69440.0,2,4,next,0.23880929430992165,0.7084223002396433,0.23880929430992165,0.7084223002396433,0.23880929430992165,20.0,0.2521128894813545,-0.4696130059297216,0.11940464715496082,3.029,3.1,3.0,3.1,Positive Gamma,0.023440079234070765,normal_expiry_structure,front_month_dominant,rule_estimate
上证50ETF华夏,12月,2026-12-23,202612,rule_fourth_wednesday,medium,139.0,99.0,105060541.41450465,35846457.110126905,116936.0,42143.0,3,4,deferred,0.04864198953566014,0.7084223002396433,0.23880929430992165,0.7084223002396433,0.23880929430992165,20.0,0.2521128894813545,-0.4696130059297216,0.02432099476783007,3.029,3.0,2.7,3.0,Positive Gamma,-0.009574116870254223,low_expiry_influence,front_month_dominant,rule_estimate
上证50ETF华夏,3月,2027-03-24,202703,rule_fourth_wednesday,medium,230.0,164.0,8912536.149243219,2284769.00045186,11333.0,2553.0,4,4,far,0.004126415914774918,0.7084223002396433,0.23880929430992165,0.7084223002396433,0.23880929430992165,20.0,0.2521128894813545,-0.4696130059297216,0.002063207957387459,3.029,3.1,2.85,3.0,Positive Gamma,-0.009574116870254223,low_expiry_influence,front_month_dominant,rule_estimate
中证500ETF南方,8月,2026-08-26,202608,rule_fourth_wednesday,medium,20.0,14.0,2256226482.5988445,305687158.1230508,798952.0,1091362.0,1,4,near,0.6813246227428219,0.6813246227428219,0.2456099455612124,0.6813246227428219,0.2456099455612124,20.0,0.26497010032821694,-0.4357146771816095,0.6813246227428219,7.832,7.75,7.5,7.75,Positive Gamma,-0.010469867211440276,front_month_concentrated,front_month_dominant,rule_estimate
中证500ETF南方,9月,2026-09-23,202609,rule_fourth_wednesday,medium,48.0,34.0,813344542.4796314,48167543.390883856,507766.0,148261.0,2,4,next,0.2456099455612124,0.6813246227428219,0.2456099455612124,0.6813246227428219,0.2456099455612124,20.0,0.26497010032821694,-0.4357146771816095,0.1228049727806062,7.832,8.0,6.631,7.5,Positive Gamma,-0.042390194075587306,normal_expiry_structure,front_month_dominant,rule_estimate
中证500ETF南方,12月,2026-12-23,202612,rule_fourth_wednesday,medium,139.0,99.0,202863908.51884606,65818355.398477435,139917.0,77080.0,3,4,deferred,0.06125988547946313,0.6813246227428219,0.2456099455612124,0.6813246227428219,0.2456099455612124,20.0,0.26497010032821694,-0.4357146771816095,0.030629942739731564,7.832,9.823,6.876,7.613,Positive Gamma,-0.027962206332992734,low_expiry_influence,front_month_dominant,rule_estimate
中证500ETF南方,3月,2027-03-24,202703,rule_fourth_wednesday,medium,230.0,164.0,39094412.7455552,14110035.293713922,31139.0,5968.0,4,4,far,0.011805546216502514,0.6813246227428219,0.2456099455612124,0.6813246227428219,0.2456099455612124,20.0,0.26497010032821694,-0.4357146771816095,0.005902773108251257,7.832,8.0,6.5,7.75,Positive Gamma,-0.010469867211440276,low_expiry_influence,front_month_dominant,rule_estimate
中证500ETF嘉实,8月,2026-08-26,202608,rule_fourth_wednesday,medium,20.0,14.0,171990600.19775864,78032009.40498368,157112.0,104657.0,1,4,near,0.5339714936299628,0.5339714936299628,0.31347187308105345,0.5339714936299628,0.31347187308105345,20.0,0.36990303469795105,-0.22049962054890931,0.5339714936299628,3.171,3.3,3.1,3.2,Positive Gamma,0.009145380006307269,near_month_pressure,distributed_expiry,rule_estimate
中证500ETF嘉实,9月,2026-09-23,202609,rule_fourth_wednesday,medium,48.0,34.0,100968340.51910654,25895818.50378453,147801.0,35107.0,2,4,next,0.31347187308105345,0.5339714936299628,0.31347187308105345,0.5339714936299628,0.31347187308105345,20.0,0.36990303469795105,-0.22049962054890931,0.15673593654052673,3.171,3.3,2.8,3.3,Positive Gamma,0.04068117313150421,normal_expiry_structure,distributed_expiry,rule_estimate
