underlying,contract_month,expiry,expiry_month,expiry_source,expiry_confidence,days_to_expiry,business_days_to_expiry_estimate,month_total_abs_gex,month_net_gex,month_total_oi,month_total_volume,month_rank,month_count,expiry_role,expiry_gex_share,near_gex_ratio,next_gex_ratio,front_month_concentration,next_month_concentration,days_to_near_expiry,roll_progress,roll_shift_score,expiry_pressure,underlying_price,call_wall,put_wall,price_wall,gamma_regime,price_wall_distance,expiry_structure_state,roll_state,expiry_date_quality,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role
上证50ETF华夏,9月,2026-09-23,202609,rule_fourth_wednesday,medium,14.0,10.0,1611378125.763575,324267468.6376076,870519.0,296693.0,1,4,near,0.765112410439097,0.765112410439097,0.1186039498102364,0.765112410439097,0.1186039498102364,14.0,0.13421042672195554,-0.6465084606288606,0.765112410439097,3.021,3.1,3.0,3.0,Positive Gamma,-0.006951340615690138,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,True,False,primary_analysis
上证50ETF华夏,10月,2026-10-28,202610,rule_fourth_wednesday,medium,49.0,35.0,249787884.42824337,42111235.65278007,154860.0,52829.0,2,4,next,0.1186039498102364,0.765112410439097,0.1186039498102364,0.765112410439097,0.1186039498102364,14.0,0.13421042672195554,-0.6465084606288606,0.0593019749051182,3.021,3.1,3.0,3.0,Positive Gamma,-0.006951340615690138,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,next_month
上证50ETF华夏,12月,2026-12-23,202612,rule_fourth_wednesday,medium,105.0,75.0,220993855.28997517,78679251.92822076,219098.0,47255.0,3,4,deferred,0.10493200733565775,0.765112410439097,0.1186039498102364,0.765112410439097,0.1186039498102364,14.0,0.13421042672195554,-0.6465084606288606,0.05246600366782887,3.021,3.0,2.7,3.0,Positive Gamma,-0.006951340615690138,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,other_month
上证50ETF华夏,3月,2027-03-24,202703,rule_fourth_wednesday,medium,196.0,140.0,23907300.307358038,8830279.59322428,27111.0,2253.0,4,4,far,0.01135163241500889,0.765112410439097,0.1186039498102364,0.765112410439097,0.1186039498102364,14.0,0.13421042672195554,-0.6465084606288606,0.005675816207504445,3.021,3.1,2.8,3.1,Positive Gamma,0.02615028136378683,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,far_month
中证500ETF南方,9月,2026-09-23,202609,rule_fourth_wednesday,medium,14.0,10.0,2708924892.181263,193071158.85561317,994562.0,835643.0,1,4,near,0.8171010642974411,0.8171010642974411,0.049860050778739555,0.8171010642974411,0.049860050778739555,14.0,0.057511288466909276,-0.7672410135187016,0.8171010642974411,7.785,8.0,7.75,7.75,Positive Gamma,-0.004495825305073864,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,True,False,primary_analysis
中证500ETF南方,10月,2026-10-28,202610,rule_fourth_wednesday,medium,49.0,35.0,165300399.89127,14981060.029954502,96090.0,49389.0,2,4,next,0.049860050778739555,0.8171010642974411,0.049860050778739555,0.8171010642974411,0.049860050778739555,14.0,0.057511288466909276,-0.7672410135187016,0.024930025389369777,7.785,8.0,7.0,8.0,Positive Gamma,0.027617212588310736,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,next_month
中证500ETF南方,12月,2026-12-23,202612,rule_fourth_wednesday,medium,105.0,75.0,354071639.204595,89385378.2147565,254785.0,49991.0,3,4,deferred,0.10679968059160769,0.8171010642974411,0.049860050778739555,0.8171010642974411,0.049860050778739555,14.0,0.057511288466909276,-0.7672410135187016,0.053399840295803844,7.785,8.0,6.5,8.0,Positive Gamma,0.027617212588310736,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,other_month
中证500ETF南方,3月,2027-03-24,202703,rule_fourth_wednesday,medium,196.0,140.0,86990504.44595176,32381795.108108256,63841.0,1449.0,4,4,far,0.02623920433221161,0.8171010642974411,0.049860050778739555,0.8171010642974411,0.049860050778739555,14.0,0.057511288466909276,-0.7672410135187016,0.013119602166105805,7.785,7.75,7.75,7.75,Positive Gamma,-0.004495825305073864,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,far_month
中证500ETF嘉实,9月,2026-09-23,202609,rule_fourth_wednesday,medium,14.0,10.0,196225916.46116108,20672325.441421725,228692.0,155394.0,1,4,near,0.6707114033995051,0.6707114033995051,0.07760965970734064,0.6707114033995051,0.07760965970734064,14.0,0.10371171350586383,-0.5931017436921644,0.6707114033995051,3.154,3.3,3.2,3.2,Positive Gamma,0.014584654407102216,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,True,False,primary_analysis
中证500ETF嘉实,10月,2026-10-28,202610,rule_fourth_wednesday,medium,49.0,35.0,22705781.54050064,2348540.9509573597,22362.0,9495.0,2,4,next,0.07760965970734064,0.6707114033995051,0.07760965970734064,0.6707114033995051,0.07760965970734064,14.0,0.10371171350586383,-0.5931017436921644,0.03880482985367032,3.154,3.2,2.9,3.1,Positive Gamma,-0.017121116043119833,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,next_month
中证500ETF嘉实,12月,2026-12-23,202612,rule_fourth_wednesday,medium,105.0,75.0,57697115.394248195,24264492.64224124,102859.0,38363.0,3,4,deferred,0.1972120397554056,0.6707114033995051,0.07760965970734064,0.6707114033995051,0.07760965970734064,14.0,0.10371171350586383,-0.5931017436921644,0.0986060198777028,3.154,4.1,3.0,3.1,Positive Gamma,-0.017121116043119833,normal_expiry_structure,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,other_month
中证500ETF嘉实,3月,2027-03-24,202703,rule_fourth_wednesday,medium,196.0,140.0,15935045.61496828,5463160.98231852,25116.0,1990.0,4,4,far,0.05446689713774858,0.6707114033995051,0.07760965970734064,0.6707114033995051,0.07760965970734064,14.0,0.10371171350586383,-0.5931017436921644,0.02723344856887429,3.154,3.1,3.1,3.1,Positive Gamma,-0.017121116043119833,low_expiry_influence,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,False,False,far_month
创业板ETF易方达,9月,2026-09-23,202609,rule_fourth_wednesday,medium,14.0,10.0,1221989740.898063,91618789.85558385,1284809.0,1016812.0,1,4,near,0.8192332216402349,0.8192332216402349,0.08370686989682066,0.8192332216402349,0.08370686989682066,14.0,0.09270478814860048,-0.7355263517434143,0.8192332216402349,3.373,3.5,3.3,3.4,Positive Gamma,0.008004743551734306,front_month_concentrated,front_month_dominant,rule_estimate,9月,9月,,10月,3月,front_month_default,9月 DTE=14，默认使用前月,medium,14.0,True,False,primary_analysis
