trade_date,underlying,contract_month,underlying_price,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,net_gex,total_abs_gex,gamma_regime
2026-09-17,上证50ETF华夏,10月,2.958,414321778.93582416,263452397.1583324,1.5726627785695215,0.61129767634916,0.3887023236508403,150869381.77749175,677774176.0941564,Positive Gamma
2026-09-17,上证50ETF华夏,12月,2.958,148366892.75001624,84463645.85836345,1.756576941975862,0.6372312396681302,0.3627687603318698,63903246.891652815,232830538.6083797,Positive Gamma
2026-09-17,上证50ETF华夏,3月,2.958,20460518.310707286,10155221.5292802,2.0147781367165827,0.6683006328654395,0.33169936713456055,10305296.781427085,30615739.839987487,Positive Gamma
2026-09-17,上证50ETF华夏,9月,2.958,998645566.5634413,835565891.0488975,1.1951727293580972,0.5444549822316646,0.45554501776833567,163079675.51454356,1834211457.6123383,Positive Gamma
2026-09-17,中证500ETF南方,10月,7.681,269079832.0608802,229700225.4302935,1.1714391292251347,0.5394759233445129,0.460524076655487,39379606.630586684,498780057.49117374,Positive Gamma
2026-09-17,中证500ETF南方,12月,7.681,230117442.25666764,153436570.851189,1.4997561596957734,0.5999609817456345,0.4000390182543654,76680871.40547872,383554013.1078567,Positive Gamma
2026-09-17,中证500ETF南方,3月,7.681,65050635.10983978,31462423.922363266,2.0675659087919875,0.6740086342940872,0.32599136570591297,33588211.18747652,96513059.03220303,Positive Gamma
2026-09-17,中证500ETF南方,9月,7.681,1499114527.4351058,1476013147.0261853,1.0156512023320825,0.5038824183256443,0.4961175816743555,23101380.408920392,2975127674.461292,Positive Gamma
2026-09-17,中证500ETF嘉实,10月,3.117,28640858.81152554,19291761.800245978,1.4846160297894802,0.5975233243243909,0.402476675675609,9349097.01127956,47932620.61177152,Positive Gamma
2026-09-17,中证500ETF嘉实,12月,3.117,50592376.75083984,18826778.15461053,2.6872562227780947,0.7287956302514371,0.271204369748563,31765598.596229307,69419154.90545036,Positive Gamma
2026-09-17,中证500ETF嘉实,3月,3.117,15514473.98189817,7234909.94006073,2.1443907540565657,0.6819733683830789,0.3180266316169211,8279564.041837442,22749383.9219589,Positive Gamma
