underlying,contract_month,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,trade_date
上证50ETF华夏,12月,0.30428875236294906,0.18857954061400956,0.2764343259587238,0.2764343259587238,0.05656642672593317,0.006494266627729178,0.0038470685945439145,0.23464554455445544,0.1553,0.2267,120171759.0,71714949.0,2026-07-31
上证50ETF华夏,3月,0.367684338146148,0.11984089152907675,0.22404318915277635,0.22404318915277635,0.0682467527244943,0.0032838648263635475,0.00047967185426468805,0.22682499999999997,0.1482,0.2316,12433500.0,10536670.0,2026-07-31
上证50ETF华夏,8月,0.24414276330194878,0.2734678406424296,0.32939673360464405,0.32939673360464405,0.05395805124906637,0.03707061411565444,0.003876787190431182,0.18267999999999998,0.1576,0.2022,353513601.0,180562992.0,2026-07-31
上证50ETF华夏,9月,0.26573835610458785,0.1397476784530278,0.23461588787326854,0.23461588787326854,0.0506253265519207,0.019851683871871976,0.0013795481323551368,0.18777868852459018,0.1679,0.21780000000000002,286485836.0,136040903.0,2026-07-31
中证500ETF南方,12月,-0.8389680543913569,-0.09324061756425787,0.24912268975238258,0.24912268975238258,0.029025151396142094,0.0060033066452527374,-0.006102650913539982,0.268425,0.2253,0.0001,663066929.0,314755869.0,2026-07-31
中证500ETF南方,3月,0.44534019042324,0.31346275743159746,0.38461489963139034,0.38461489963139034,0.03213051808235582,0.003738050706280159,0.003076668206391574,0.35972499999999996,0.2002,0.3604,144640556.0,72470392.0,2026-07-31
中证500ETF南方,8月,0.26385624383956335,-0.14242899714708487,0.1172211695467391,0.1172211695467391,0.025624681628511004,0.0325065999104118,-0.0018809607944490075,0.329725,0.3016,0.3886,1984008923.0,985911110.0,2026-07-31
中证500ETF南方,9月,0.2626337806083533,-0.318355326959143,-0.15973897155511635,-0.15973897155511635,0.032808314114314466,0.018150601809300202,-0.0056804743316047545,0.3164101731601732,0.2868,0.3699,1177231444.0,649794212.0,2026-07-31
中证500ETF嘉实,12月,0.3553160081018915,0.1124805024543158,0.3167105435149953,0.3167105435149953,0.03343893326770868,0.005496769005678189,-0.0014734025649736008,0.3236555555555556,0.23420000000000002,0.3492,116427787.0,68895200.0,2026-07-31
中证500ETF嘉实,3月,0.4639999999999999,0.2020028444814758,0.4183009499651501,0.4183009499651501,0.035386898991991045,0.003224187068524605,0.0004379701399489523,0.3375,0.19510000000000002,0.3517,38959277.0,25611107.0,2026-07-31
