underlying,contract_month,iv_surface_bias,delta_bias,normalized_net_gex,assumed_dealer_gamma_ratio,vega_risk_ratio,theta_burn_rate,rho_risk_ratio,atm_iv,call_25_delta_iv,put_25_delta_iv,option_market_value,total_time_value,trade_date,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role
上证50ETF华夏,10月,0.20841516153650477,0.14575752266054176,0.20338847095844279,0.20338847095844279,0.07082660852727983,0.02204810698608856,0.0028069154833672144,0.12762987012987015,0.1197,0.1463,155772770.0,84562770.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month
上证50ETF华夏,12月,0.3287907956767574,0.10046419033032784,0.294867311281317,0.294867311281317,0.052504929273788845,0.010640138832792183,0.000375533616326011,0.19161120331950207,0.1352,0.19820000000000002,200911441.0,89055041.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month
上证50ETF华夏,3月,0.39565475363892283,0.20914534611612998,0.3424507377018707,0.3424507377018707,0.07070392470743803,0.004605953520589023,0.006701855663609135,0.21154807121661726,0.1293,0.213,32258379.0,23659379.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month
上证50ETF华夏,9月,-0.05028781074071736,-0.02624222937488937,0.07818723526075858,0.07818723526075858,0.027580732412951992,0.19866914231660102,-0.00022228001699983374,0.11931320754716981,0.1226,0.1166,135144852.0,21530777.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis
中证500ETF南方,10月,0.0,0.2766363036394224,0.13831394429014934,0.13831394429014934,0.05149389056470693,0.039428594058315024,0.0036918408851171736,0.0001,0.0001,0.0001,445925502.0,245265073.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month
中证500ETF南方,12月,0.38052822819274706,0.09100728639970046,0.24657585176686472,0.24657585176686472,0.03620765881524318,0.010727031858121462,-0.0009594739192924353,0.2987951788491447,0.19920000000000002,0.3129,793786037.0,373587219.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month
中证500ETF南方,3月,0.509595343859804,0.29007645579235886,0.3512706835546192,0.3512706835546192,0.02882549692769781,0.004186679141512025,0.00263606924374303,0.3392888143176734,0.1761,0.349,441205785.0,187861781.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month
中证500ETF南方,9月,0.08131012368300514,0.15642059506514366,0.13292721785212594,0.13292721785212594,0.01656626257018443,0.20014645488805638,0.00038614049748212487,0.17464000000000002,0.1752,0.1894,609653744.0,82332520.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis
中证500ETF嘉实,10月,0.33823610886955946,0.1738154406369673,0.2247933621667902,0.2247933621667902,0.04038114197977212,0.024678323709587092,0.0014629505670961435,0.2515993939393939,0.18469999999999998,0.2698,42899604.0,20329055.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month
中证500ETF嘉实,12月,0.3553572579917213,0.3266095075411434,0.47130501966611466,0.47130501966611466,0.04071561717207293,0.012094354502185297,0.005127783860282761,0.29941698841698844,0.2066,0.313,118165862.0,58196905.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month
中证500ETF嘉实,3月,0.48552619557353205,0.217975451695045,0.3159422698110231,0.3159422698110231,0.03592735397461434,0.004422740207529444,0.0010992527550613808,0.33468842975206614,0.1808,0.3433,76376429.0,43586779.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month
中证500ETF嘉实,9月,0.2645539373389755,0.1552530252860397,0.1992082682137654,0.1992082682137654,0.011322977543429726,0.22502463298719086,0.00027221736546593887,0.13872407407407406,0.1612,0.1979,69731040.0,5882356.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis
创业板ETF易方达,10月,0.14291546932293012,0.15657303908681983,0.14447914106103804,0.14447914106103804,0.03997967721559335,0.02036641019437311,0.0012010082971411172,0.2875825842696629,0.2686,0.3097,348836058.0,243534818.0,2026-09-18,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month
