underlying,contract_month,underlying_price,atm_iv,call_25_delta_iv,put_25_delta_iv,risk_reversal_25d,put_skew,call_skew,smile_curvature,iv_min,iv_max,iv_std,near_atm_iv,next_atm_iv,iv_term_slope,iv_surface_state
上证50ETF华夏,7月,3.058,0.001593,0.001593,0.0021600000000000005,-0.0005670000000000004,0.0005670000000000004,0.0,0.0002835000000000001,1e-06,0.008384999999999998,0.002121350818959808,0.001593,0.001377,-0.00021600000000000005,normal_iv_surface
上证50ETF华夏,8月,3.058,0.001377,0.001574,0.0022570000000000003,-0.0006830000000000002,0.0008800000000000004,0.00019700000000000013,0.0005385000000000001,1e-06,0.004564,0.001291511990286049,0.001593,0.001466,-0.00012699999999999994,normal_iv_surface
上证50ETF华夏,9月,3.058,0.001466,0.0018280000000000002,0.0025329999999999997,-0.0007049999999999995,0.0010669999999999996,0.0003620000000000001,0.0007145000000000001,1e-06,0.004818,0.0013742943061611985,0.001593,0.00134,-0.00025299999999999997,normal_iv_surface
上证50ETF华夏,12月,3.058,0.00134,0.0017620000000000003,0.0025679999999999995,-0.0008059999999999992,0.0012279999999999995,0.0004220000000000003,0.0008249999999999998,1e-06,0.003754,0.0012073221348583157,0.001593,,,normal_iv_surface
中证500ETF南方,7月,8.413,0.0025940000000000004,0.002692,0.002953,-0.00026099999999999995,0.0003589999999999995,9.799999999999956e-05,0.00022849999999999954,1e-06,0.006212,0.001746048029000554,0.0025940000000000004,0.002429,-0.00016500000000000022,normal_iv_surface
中证500ETF南方,8月,8.413,0.002429,0.002508,1e-06,0.0025069999999999997,-0.002428,7.899999999999964e-05,-0.0011745000000000002,1e-06,0.005135999999999999,0.001628006740205287,0.0025940000000000004,0.002298,-0.00029600000000000026,normal_iv_surface
中证500ETF南方,9月,8.413,0.002298,0.0025109999999999998,0.0033439999999999998,-0.000833,0.0010459999999999996,0.00021299999999999965,0.0006294999999999994,1e-06,0.006343,0.0015317949083114987,0.0025940000000000004,0.0018679999999999999,-0.0007260000000000005,normal_iv_surface
中证500ETF南方,12月,8.413,0.0018679999999999999,0.002224,0.0035009999999999998,-0.001277,0.001633,0.000356,0.0009944999999999997,1e-06,0.005046,0.001456044053493673,0.0025940000000000004,,,normal_iv_surface
中证500ETF嘉实,7月,3.348,0.0026,0.0028079999999999997,0.0032040000000000003,-0.0003960000000000005,0.0006040000000000004,0.00020799999999999985,0.0004060000000000001,1e-06,0.011893,0.0026387278139646153,0.0026,0.002494,-0.00010599999999999976,normal_iv_surface
中证500ETF嘉实,8月,3.348,0.002494,0.002553,0.0033439999999999998,-0.0007909999999999996,0.0008499999999999996,5.9000000000000025e-05,0.0004544999999999996,1e-06,0.0068720000000000005,0.0014634926574675865,0.0026,0.00226,-0.00034,normal_iv_surface
中证500ETF嘉实,9月,3.348,0.00226,0.002525,0.0033740000000000003,-0.0008490000000000004,0.0011140000000000004,0.00026500000000000004,0.0006895,1e-06,0.005284,0.0014108105368786207,0.0026,0.001721,-0.0008789999999999998,normal_iv_surface
中证500ETF嘉实,12月,3.348,0.001721,0.002213,0.003527,-0.001314,0.001806,0.000492,0.001149,1e-06,0.005405999999999999,0.0015150760401403645,0.0026,,,normal_iv_surface
创业板ETF易方达,7月,3.867,0.004092,0.0043890000000000005,0.004335,5.400000000000023e-05,0.00024300000000000016,0.0002970000000000004,0.0002700000000000003,1e-06,0.010768999999999999,0.002134057821664375,0.004092,0.0037140000000000003,-0.00037799999999999986,normal_iv_surface
创业板ETF易方达,8月,3.867,0.0037140000000000003,0.003949,0.004318,-0.00036899999999999954,0.0006039999999999995,0.00023499999999999997,0.00041949999999999973,0.002987,0.006103999999999999,0.0007763002322392494,0.004092,0.0035119999999999995,-0.0005800000000000007,normal_iv_surface
创业板ETF易方达,9月,3.867,0.0035119999999999995,0.003963,0.00439,-0.00042699999999999943,0.0008780000000000003,0.0004510000000000009,0.0006645000000000002,1e-06,0.006412999999999999,0.0016803667990296593,0.004092,0.00312,-0.0009720000000000002,normal_iv_surface
创业板ETF易方达,12月,3.867,0.00312,0.0036469999999999996,0.00454,-0.0008930000000000001,0.0014199999999999998,0.0005269999999999997,0.0009735,1e-06,0.006587999999999999,0.0013403306988773109,0.004092,,,normal_iv_surface
沪深300ETF华泰柏瑞,7月,4.837,0.0016510000000000003,0.00206,0.002226,-0.00016599999999999991,0.0005749999999999998,0.00040899999999999986,0.0004919999999999996,1e-06,0.010761,0.002689761521337285,0.0016510000000000003,0.001469,-0.0001820000000000003,normal_iv_surface
沪深300ETF华泰柏瑞,8月,4.837,0.001469,0.001713,0.0023250000000000002,-0.0006120000000000003,0.0008560000000000002,0.00024399999999999986,0.0005499999999999999,1e-06,0.007509,0.0019126606435326786,0.0016510000000000003,0.001545,-0.00010600000000000041,normal_iv_surface
沪深300ETF华泰柏瑞,9月,4.837,0.001545,0.00201,0.002565,-0.0005549999999999999,0.00102,0.00046500000000000014,0.0007425000000000001,1e-06,0.005046,0.0013945247388004404,0.0016510000000000003,0.001266,-0.00038500000000000036,normal_iv_surface
沪深300ETF华泰柏瑞,12月,4.837,0.001266,0.001898,0.0027129999999999997,-0.0008149999999999998,0.0014469999999999997,0.000632,0.0010394999999999998,1e-06,0.0047799999999999995,0.0013208712868867044,0.0016510000000000003,,,normal_iv_surface
沪深300ETF嘉实,7月,5.046,0.001702,0.0022440000000000003,0.002213,3.100000000000021e-05,0.0005110000000000002,0.0005420000000000004,0.0005265000000000005,1e-06,0.007483,0.0021780356737445545,0.001702,0.0014349999999999999,-0.0002670000000000001,normal_iv_surface
沪深300ETF嘉实,8月,5.046,0.0014349999999999999,0.0017449999999999998,0.002401,-0.0006560000000000001,0.0009660000000000001,0.00030999999999999995,0.0006379999999999999,1e-06,0.005808,0.0015402331421036986,0.001702,0.001471,-0.00023099999999999987,normal_iv_surface
沪深300ETF嘉实,9月,5.046,0.001471,0.0020269999999999997,0.002583,-0.0005560000000000001,0.0011119999999999997,0.0005559999999999996,0.0008339999999999997,1e-06,0.005409000000000001,0.0014881825511527662,0.001702,0.001173,-0.000529,normal_iv_surface
沪深300ETF嘉实,12月,5.046,0.001173,0.0018659999999999998,0.0027660000000000002,-0.0009000000000000004,0.0015930000000000002,0.0006929999999999998,0.001143,1e-06,0.004679,0.0013996596370429131,0.001702,,,normal_iv_surface
深证100ETF易方达,7月,3.883,0.0024879999999999998,0.0026890000000000004,0.003215,-0.0005259999999999996,0.0007270000000000002,0.00020100000000000066,0.00046400000000000044,1e-06,0.010314,0.0023747986071697503,0.0024879999999999998,0.0025859999999999998,9.8e-05,normal_iv_surface
深证100ETF易方达,8月,3.883,0.0025859999999999998,0.0027429999999999998,0.0034560000000000003,-0.0007130000000000005,0.0008700000000000005,0.00015700000000000002,0.0005135000000000001,1e-06,0.00506,0.0013261821014302095,0.0024879999999999998,0.0024609999999999996,-2.7000000000000114e-05,normal_iv_surface
深证100ETF易方达,9月,3.883,0.0024609999999999996,0.002798,0.00364,-0.0008419999999999999,0.0011790000000000004,0.0003370000000000005,0.0007580000000000004,1e-06,0.004925,0.0014362286786200008,0.0024879999999999998,0.0019219999999999999,-0.0005659999999999999,normal_iv_surface
深证100ETF易方达,12月,3.883,0.0019219999999999999,0.002434,0.0037450000000000005,-0.0013110000000000005,0.0018230000000000006,0.0005120000000000001,0.0011675000000000004,1e-06,0.005573,0.0015547346847613582,0.0024879999999999998,,,normal_iv_surface
科创50ETF华夏,7月,2.125,0.005331,0.005833,0.005778999999999999,5.400000000000023e-05,0.0004479999999999996,0.0005019999999999998,0.00047499999999999973,1e-06,0.008418000000000002,0.00244338050696101,0.005331,0.004971,-0.0003600000000000001,normal_iv_surface
科创50ETF华夏,8月,2.125,0.004971,0.0055720000000000006,0.005906,-0.00033399999999999923,0.0009350000000000001,0.0006010000000000008,0.0007680000000000005,0.00468,0.007911,0.0007332728284924314,0.005331,0.004633,-0.0006979999999999998,normal_iv_surface
科创50ETF华夏,9月,2.125,0.004633,0.005072,0.005882000000000001,-0.0008100000000000008,0.001249000000000001,0.00043900000000000015,0.000844000000000001,1e-06,0.007378,0.0024243946040873134,0.005331,0.004004,-0.001327,normal_iv_surface
科创50ETF华夏,12月,2.125,0.004004,0.004451,0.006079,-0.001628,0.0020750000000000005,0.00044700000000000035,0.0012610000000000008,1e-06,0.007326,0.002349173623195088,0.005331,,,normal_iv_surface
科创50ETF易方达,7月,2.065,0.005313,0.005893999999999999,0.005920000000000001,-2.6000000000001716e-05,0.0006070000000000008,0.000580999999999999,0.0005939999999999999,1e-06,0.00856,0.0031672997750880707,0.005313,0.005023,-0.0002900000000000003,normal_iv_surface
科创50ETF易方达,8月,2.065,0.005023,1e-06,0.00601,-0.006009,0.000987,-0.0050219999999999996,-0.0020174999999999998,1e-06,0.006142,0.002642022230151628,0.005313,0.00461,-0.0007029999999999996,normal_iv_surface
科创50ETF易方达,9月,2.065,0.00461,1e-06,0.006118,-0.006117,0.0015079999999999998,-0.004609,-0.0015505000000000002,1e-06,0.007118000000000001,0.002849955783434625,0.005313,0.003851,-0.0014620000000000002,normal_iv_surface
科创50ETF易方达,12月,2.065,0.003851,0.004547,0.006142,-0.001595,0.002291,0.000696,0.0014935000000000005,1e-06,0.007823,0.0026041375746598153,0.005313,,,normal_iv_surface
