underlying,contract_month,underlying_price,atm_iv,call_25_delta_iv,put_25_delta_iv,risk_reversal_25d,put_skew,call_skew,smile_curvature,iv_min,iv_max,iv_std,near_atm_iv,next_atm_iv,iv_term_slope,iv_surface_state,front_month,primary_month,expiring_month,next_month,far_month,primary_selection_reason,primary_selection_note,primary_selection_confidence,primary_selection_dte,is_primary_analysis_month,is_expiring_microstructure,analysis_month_role,primary_atm_iv,next_after_primary_atm_iv,primary_iv_term_slope,primary_iv_surface_state
上证50ETF华夏,9月,2.975,0.1293,0.1226,0.1166,0.006000000000000005,-0.012700000000000003,-0.006699999999999998,-0.0097,0.0001,0.5041,0.15501395512362356,0.1293,0.1011,-0.028200000000000003,front_iv_inversion,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis,0.1293,0.1011,-0.028200000000000003,front_iv_inversion
上证50ETF华夏,10月,2.975,0.1011,0.1197,0.1463,-0.026600000000000013,0.04520000000000002,0.018600000000000005,0.03190000000000001,0.0001,0.4905,0.1086709873188262,0.1293,0.0956,-0.033699999999999994,front_iv_inversion,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month,0.1293,0.1011,-0.028200000000000003,front_iv_inversion
上证50ETF华夏,12月,2.975,0.0956,0.1352,0.19820000000000002,-0.06300000000000003,0.10260000000000001,0.03959999999999998,0.07110000000000001,0.0001,0.3624,0.10218192216527983,0.1293,0.08,-0.0493,front_iv_inversion,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month,0.1293,0.1011,-0.028200000000000003,front_iv_inversion
上证50ETF华夏,3月,2.975,0.08,0.1293,0.213,-0.0837,0.133,0.0493,0.09115,0.0001,0.349,0.10317637076796453,0.1293,,,put_skew_elevated,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month,0.1293,0.1011,-0.028200000000000003,front_iv_inversion
中证500ETF南方,9月,7.83,0.16190000000000002,0.1752,0.1894,-0.014200000000000018,0.027499999999999997,0.013299999999999979,0.0204,0.0001,1.2244,0.2858958791226879,0.16190000000000002,0.0001,-0.16180000000000003,front_iv_inversion,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis,0.16190000000000002,0.0001,-0.16180000000000003,front_iv_inversion
中证500ETF南方,10月,7.83,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.16190000000000002,0.1678,0.005899999999999989,normal_iv_surface,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month,0.16190000000000002,0.0001,-0.16180000000000003,front_iv_inversion
中证500ETF南方,12月,7.83,0.1678,0.19920000000000002,0.3129,-0.1137,0.1451,0.03140000000000001,0.08825,0.0001,0.6464,0.15075270122033343,0.16190000000000002,0.1184,-0.04350000000000001,front_iv_inversion,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month,0.16190000000000002,0.0001,-0.16180000000000003,front_iv_inversion
中证500ETF南方,3月,7.83,0.1184,0.1761,0.349,-0.17289999999999997,0.23059999999999997,0.0577,0.14415,0.0001,0.4828,0.16231881340317697,0.16190000000000002,,,put_skew_elevated,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month,0.16190000000000002,0.0001,-0.16180000000000003,front_iv_inversion
中证500ETF嘉实,9月,3.175,0.1612,0.1612,0.1979,-0.03669999999999998,0.03669999999999998,0.0,0.018349999999999977,0.0001,1.3555000000000001,0.3395537952333879,0.1612,0.1761,0.014899999999999997,put_skew_elevated,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis,0.1612,0.1761,0.014899999999999997,put_skew_elevated
中证500ETF嘉实,10月,3.175,0.1761,0.18469999999999998,0.2698,-0.08510000000000001,0.09369999999999998,0.008599999999999969,0.05114999999999997,0.0001,0.4042,0.12448416048046561,0.1612,0.1723,0.011099999999999999,put_skew_elevated,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month,0.1612,0.1761,0.014899999999999997,put_skew_elevated
中证500ETF嘉实,12月,3.175,0.1723,0.2066,0.313,-0.1064,0.1407,0.0343,0.08750000000000002,0.0001,0.5611999999999999,0.1529769921127505,0.1612,0.1371,-0.02410000000000001,front_iv_inversion,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month,0.1612,0.1761,0.014899999999999997,put_skew_elevated
中证500ETF嘉实,3月,3.175,0.1371,0.1808,0.3433,-0.1625,0.2062,0.04369999999999999,0.12495,0.0001,0.45159999999999995,0.16131106404898388,0.1612,,,put_skew_elevated,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month,0.1612,0.1761,0.014899999999999997,put_skew_elevated
创业板ETF易方达,9月,3.391,0.22899999999999998,0.24600000000000002,0.2548,-0.008800000000000002,0.025800000000000045,0.017000000000000043,0.02140000000000003,0.0001,1.4738999999999998,0.37595278190624465,0.22899999999999998,0.2568,0.02779999999999999,normal_iv_surface,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis,0.22899999999999998,0.2568,0.02779999999999999,normal_iv_surface
创业板ETF易方达,10月,3.391,0.2568,0.2686,0.3097,-0.04109999999999997,0.0529,0.011800000000000033,0.032350000000000045,0.0001,0.4011,0.09828117451510876,0.22899999999999998,0.2661,0.03710000000000002,put_skew_elevated,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month,0.22899999999999998,0.2568,0.02779999999999999,normal_iv_surface
创业板ETF易方达,12月,3.391,0.2661,0.2995,0.37670000000000003,-0.07720000000000005,0.11060000000000003,0.033399999999999985,0.07200000000000001,0.0001,0.6579999999999999,0.12834507881648696,0.22899999999999998,0.2527,0.0237,put_skew_elevated,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,other_month,0.22899999999999998,0.2568,0.02779999999999999,normal_iv_surface
创业板ETF易方达,3月,3.391,0.2527,0.2932,0.3981,-0.1049,0.14540000000000003,0.040500000000000036,0.09295000000000003,0.1591,0.4874,0.09867771790319237,0.22899999999999998,,,put_skew_elevated,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,far_month,0.22899999999999998,0.2568,0.02779999999999999,normal_iv_surface
沪深300ETF华泰柏瑞,9月,4.582,0.1158,0.1158,0.1514,-0.03560000000000001,0.03560000000000001,0.0,0.017799999999999996,0.0001,1.0837999999999999,0.2868443596763947,0.1158,0.11869999999999999,0.002899999999999986,put_skew_elevated,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,True,False,primary_analysis,0.1158,0.11869999999999999,0.002899999999999986,put_skew_elevated
沪深300ETF华泰柏瑞,10月,4.582,0.11869999999999999,0.1246,0.0001,0.1245,-0.11859999999999998,0.005900000000000016,-0.05634999999999998,0.0001,0.1499,0.05867081123445534,0.1158,0.11689999999999999,0.0010999999999999899,call_skew_elevated,9月,9月,,10月,3月,front_month_default,9月 DTE=5，默认使用前月,medium,5.0,False,False,next_month,0.1158,0.11869999999999999,0.002899999999999986,put_skew_elevated
