trade_date,market_type,underlying,commodity,exchange,contract_month,underlying_price,call_wall,put_wall,call_oi_wall,put_oi_wall,max_gamma_strike,gex_flip,price_wall,net_gex,total_abs_gex,total_oi,total_volume,total_amount,call_gex_total,put_gex_abs_total,gex_ratio,call_gex_share,put_gex_share,call_wall_distance,put_wall_distance,price_wall_distance,gamma_regime
2026-07-13,ETF,上证50ETF华夏,,,12月,3.011,3.0,2.8,3.5,2.8,3.0,3.1,3.0,12442235.032319533,54236564.17839763,73098.0,11093.0,,33339399.60535858,20897164.57303905,1.5954030265126091,0.614703385260485,0.385296614739515,-0.0036532713384258564,-0.07007638658253079,-0.0036532713384258564,Positive Gamma
2026-07-13,ETF,上证50ETF华夏,,,7月,3.011,3.1,3.0,3.1,3.0,3.0,3.1,3.0,489016334.1718722,1619045507.0982287,921070.0,855692.0,,1054030920.6350507,565014586.4631785,1.8654932914793712,0.6510199472553194,0.3489800527446809,0.029558286283626778,-0.0036532713384258564,-0.0036532713384258564,Positive Gamma
2026-07-13,ETF,上证50ETF华夏,,,8月,3.011,3.1,3.0,3.1,3.0,3.1,3.2,3.1,60231731.520587906,359157635.2512803,285359.0,259323.0,,209694683.38593414,149462951.86534622,1.402987702095244,0.5838513867016186,0.41614861329838154,0.029558286283626778,-0.0036532713384258564,0.029558286283626778,Positive Gamma
2026-07-13,ETF,上证50ETF华夏,,,9月,3.011,3.1,2.65,3.6,2.65,3.1,3.3,3.1,65255421.84016557,319634306.67814493,404797.0,321447.0,,192444864.25915524,127189442.41898967,1.513056906289439,0.6020782507959547,0.39792174920404527,0.029558286283626778,-0.11989372301560952,0.029558286283626778,Positive Gamma
2026-07-13,ETF,中证500ETF南方,,,12月,8.292,8.5,7.25,10.0,7.25,8.5,8.5,8.5,25743019.423271038,108903605.96636641,74556.0,15808.0,,67323312.6948187,41580293.27154768,1.6191158695094223,0.6181917678245724,0.38180823217542736,0.025084418716835533,-0.12566328991799325,0.025084418716835533,Positive Gamma
2026-07-13,ETF,中证500ETF南方,,,7月,8.292,8.75,8.25,9.0,8.25,8.5,9.25,8.5,97225223.18003435,2352964064.140005,746265.0,1760400.0,,1225094643.6600194,1127869420.4799852,1.0862025527198513,0.5206601589590296,0.4793398410409702,0.055233960443801244,-0.005065123010130179,0.025084418716835533,Positive Gamma
2026-07-13,ETF,中证500ETF南方,,,8月,8.292,9.0,8.25,9.0,8.25,8.5,9.0,8.5,66087664.90231249,414388446.5917339,175121.0,247592.0,,240238055.74702317,174150390.84471074,1.3794861704401373,0.5797412010950967,0.42025879890490325,0.08538350217076696,-0.005065123010130179,0.025084418716835533,Positive Gamma
2026-07-13,ETF,中证500ETF南方,,,9月,8.292,8.5,6.75,9.75,6.5,6.75,,8.5,-85862986.29357408,522834054.2344425,390498.0,370101.0,,218485533.97043425,304348520.2640083,0.7178794028008026,0.4178869608835078,0.5821130391164924,0.025084418716835533,-0.18596237337192478,0.025084418716835533,Negative Gamma
2026-07-13,ETF,中证500ETF嘉实,,,12月,3.304,3.2,3.2,3.2,3.2,3.2,,3.2,6780692.17180992,17655366.198637437,27359.0,10307.0,,12218029.185223678,5437337.01341376,2.2470612277815665,0.6920292135411279,0.30797078645887216,-0.03147699757869238,-0.03147699757869238,-0.03147699757869238,Positive Gamma
2026-07-13,ETF,中证500ETF嘉实,,,7月,3.304,3.4,3.3,3.7,3.2,3.4,3.5,3.4,48851643.54850751,268421937.07819834,229159.0,355795.0,,158636790.31335294,109785146.76484543,1.4449749805695065,0.5909978597134476,0.40900214028655246,0.029055690072639306,-0.001210653753026647,0.029055690072639306,Positive Gamma
2026-07-13,ETF,中证500ETF嘉实,,,8月,3.304,3.5,3.3,3.5,3.5,3.5,3.4,3.4,13511877.851239037,46875967.4380256,49498.0,43147.0,,30193922.644632317,16682044.793393278,1.8099653261085988,0.6441237225567984,0.3558762774432015,0.05932203389830515,-0.001210653753026647,0.029055690072639306,Positive Gamma
